Date and Time:                Tue Apr 26 17:02:31.000 2022
Software Version:             4.31.30023.0
Temperature (C):              -40
Model:                        DU940P_BU2
Data Type:                    Counts
Acquisition Mode:             Single Scan
Trigger Mode:                 Internal
Exposure Time (secs):         30
Readout Mode:                 Full Vertical Binning
Horizontal binning:           1
Extended Dynamic Range:       off
Horizontally flipped:         false
Vertical Shift Speed (usecs): 14.51
Pixel Readout Rate (MHz):     3
Baseline Clamp:               ON
Clock Amplitude:              Normal
Output Amplifier:             High Capacity
Serial Number:                23634
Pre-Amplifier Gain:           1.000000
Spurious Noise Filter Mode:   No Filter
Photon counted:               false
Data Averaging Filter Mode:   No Filter
SR500i:
Serial Number:                
Wavelength (nm):              320
Grating Groove Density (l/mm):1199.47
Grating Blaze:                500
Output Flipper Port:          Direct
310.03464	11367
310.05557	11321
310.07651	11341
310.09747	11480
310.11841	11552
310.13934	11533
310.16031	11556
310.18124	11626
310.20218	11742
310.22314	11739
310.24408	11790
310.26501	11786
310.28595	11855
310.30692	11798
310.32785	11880
310.34879	11913
310.36972	12017
310.39069	12061
310.41162	12000
310.43256	12013
310.45349	12041
310.47446	12147
310.49539	12132
310.51633	12198
310.53726	12242
310.5582	12244
310.57913	12405
310.6001	12496
310.62103	12619
310.64197	12701
310.6629	12804
310.68384	12712
310.70477	12722
310.72571	12790
310.74667	12848
310.76761	12933
310.78854	12987
310.80948	13060
310.83041	13071
310.85135	13156
310.87228	13332
310.89322	13415
310.91415	13426
310.93509	13444
310.95602	13410
310.97696	13569
310.99789	13563
311.01883	13636
311.03976	13709
311.0607	13707
311.08163	13740
311.10257	13783
311.1235	13810
311.14444	13906
311.16537	13926
311.18631	13935
311.20724	14042
311.22818	14044
311.24911	14158
311.27005	14205
311.29099	14277
311.31192	14271
311.33286	14391
311.35379	14361
311.37469	14362
311.39563	14326
311.41656	14352
311.4375	14306
311.45844	14464
311.47937	14491
311.50031	14567
311.52124	14574
311.54214	14612
311.56308	14690
311.58401	14746
311.60495	14765
311.62589	14831
311.64679	14775
311.66772	14786
311.68866	14780
311.70959	14742
311.73053	14716
311.75143	14794
311.77237	14830
311.7933	14809
311.81424	14767
311.83514	14605
311.85608	14605
311.87701	14617
311.89792	14623
311.91885	14732
311.93979	14841
311.96072	14994
311.98163	14967
312.00256	14917
312.0235	14963
312.0444	14931
312.06534	14917
312.08627	14897
312.10718	14865
312.12811	14912
312.14902	14901
312.16995	14678
312.19089	14612
312.21179	14580
312.23273	14575
