Date and Time:                Thu Feb 2 16:57:25.000 2023
Software Version:             4.31.30023.0
Temperature (C):              -40
Model:                        DU940P_BU2
Data Type:                    Counts
Acquisition Mode:             Single Scan
Trigger Mode:                 Internal
Exposure Time (secs):         2.5
Readout Mode:                 Full Vertical Binning
Horizontal binning:           1
Extended Dynamic Range:       off
Horizontally flipped:         false
Vertical Shift Speed (usecs): 14.51
Pixel Readout Rate (MHz):     3
Baseline Clamp:               ON
Clock Amplitude:              Normal
Output Amplifier:             High Capacity
Serial Number:                23634
Pre-Amplifier Gain:           1.000000
Spurious Noise Filter Mode:   No Filter
Photon counted:               false
Data Averaging Filter Mode:   No Filter
SR500i:
Serial Number:                
Wavelength (nm):              283
Grating Groove Density (l/mm):1199.47
Grating Blaze:                500
Output Flipper Port:          Direct
272.60278	303
272.6239	302
272.64505	310
272.6662	306
272.68735	302
272.7085	311
272.72961	302
272.75076	307
272.77191	307
272.79303	300
272.81418	306
272.83533	306
272.85648	305
272.87759	306
272.89874	308
272.91989	299
272.94101	308
272.96216	309
272.98331	305
273.00443	305
273.02557	312
273.04672	299
273.06784	305
273.08899	305
273.11014	306
273.13126	311
273.1524	306
273.17352	301
273.19467	310
273.21582	303
273.23694	306
273.25809	308
273.27921	308
273.30035	304
273.3215	303
273.34262	306
273.36377	304
273.38489	299
273.40604	307
273.42715	306
273.4483	304
273.46942	304
273.49057	316
273.51169	304
273.53284	306
273.55396	311
273.5751	307
273.59622	307
273.61737	303
273.63849	305
273.65964	307
273.68076	307
273.70187	301
273.72302	299
273.74414	306
273.76529	305
273.78641	304
273.80756	303
273.82867	310
273.84979	301
273.87094	304
273.89206	308
273.91318	304
273.93433	307
273.95544	310
273.97659	304
273.99771	302
274.01883	307
274.03998	309
274.0611	307
274.08221	307
274.10333	306
274.12448	304
274.1456	304
274.16672	304
274.18787	307
274.20898	307
274.2301	305
274.25122	305
274.27237	304
274.29349	310
274.31461	304
274.33572	307
274.35687	307
274.37799	303
274.39911	307
274.42023	309
274.44135	303
274.46249	306
274.48361	301
274.50473	306
274.52585	312
274.54697	307
274.56812	307
274.58923	309
274.61035	306
274.63147	302
274.65259	310
274.67371	311
274.69482	300
274.71594	305
274.73709	308
274.75821	303
274.77933	307
274.80045	307
274.82156	310
274.84268	307
274.8638	306
274.88492	308
274.90604	307
274.92715	306
274.94827	309
274.96939	307
274.99051	307
275.01163	305
275.03275	306
275.05386	303
275.07498	311
275.0961	305
275.11722	306
275.13834	309
275.15945	303
275.18057	308
275.20169	303
275.22281	300
275.24393	312
275.26505	304
275.28616	307
275.30728	302
275.3284	295
275.34952	313
275.37061	300
275.39172	307
275.41284	307
275.43396	307
275.45508	309
275.4762	306
275.49731	308
275.51843	308
275.53952	305
275.56064	307
275.58176	308
275.60287	299
275.62399	308
275.64508	307
275.6662	305
275.68732	306
275.70844	303
275.72955	301
275.75064	303
275.77176	310
275.79288	303
275.814	306
275.83508	306
275.8562	298
275.87732	307
275.89844	307
275.91953	307
275.94064	309
275.96176	311
275.98285	305
276.00397	307
276.02509	308
276.04617	313
276.06729	305
276.08841	309
276.1095	309
276.13062	303
276.15173	307
276.17282	301
276.19394	310
276.21506	312
276.23615	307
276.25726	310
276.27835	303
276.29947	304
276.32059	308
276.34167	309
276.36279	314
276.38388	302
276.405	310
276.42609	302
276.4472	310
276.46829	296
276.48941	305
276.51053	307
276.53162	305
276.55273	310
276.57382	308
276.59494	308
276.61603	298
276.63712	308
276.65823	308
276.67932	311
276.70044	304
276.72153	306
276.74265	305
276.76373	307
276.78485	306
276.80594	308
276.82703	303
276.84814	310
276.86923	308
276.89035	310
276.91144	306
276.93253	306
276.95364	307
276.97473	302
276.99585	309
277.01694	309
277.03802	306
277.05914	312
277.08023	309
277.10132	308
277.12244	302
277.14352	303
277.16461	304
277.1857	304
277.20682	306
277.22791	304
277.24899	303
277.27011	307
277.2912	307
277.31229	307
277.33337	307
277.35449	307
277.37558	305
277.39667	314
277.41776	311
277.43884	307
277.45996	313
277.48105	307
277.50214	303
277.52322	306
277.54431	315
277.56543	305
277.58652	306
277.6076	308
277.62869	309
277.64978	311
277.67087	303
277.69196	309
277.71307	308
277.73416	309
277.75525	307
277.77634	310
277.79742	307
277.81851	314
277.8396	308
277.86069	306
277.88177	315
277.90286	305
277.92395	312
277.94504	305
277.96613	305
277.98721	313
278.0083	304
278.02939	305
278.05048	310
278.07156	308
278.09265	313
278.11374	309
278.13483	307
278.15591	312
278.177	310
278.19809	312
278.21918	312
278.24026	307
278.26135	310
278.28244	307
278.30353	305
278.32462	313
278.3457	306
278.36679	311
278.38788	308
278.40894	309
278.43002	311
278.45111	303
278.4722	306
278.49329	303
278.51437	310
278.53546	305
278.55652	311
278.57761	312
278.59869	314
278.61978	306
278.64087	310
278.66193	319
278.68301	305
278.7041	305
278.72519	312
278.74628	313
