Date and Time:                Thu Feb 2 16:55:34.000 2023
Software Version:             4.31.30023.0
Temperature (C):              -40
Model:                        DU940P_BU2
Data Type:                    Counts
Acquisition Mode:             Single Scan
Trigger Mode:                 Internal
Exposure Time (secs):         0.3
Readout Mode:                 Full Vertical Binning
Horizontal binning:           1
Extended Dynamic Range:       off
Horizontally flipped:         false
Vertical Shift Speed (usecs): 14.51
Pixel Readout Rate (MHz):     3
Baseline Clamp:               ON
Clock Amplitude:              Normal
Output Amplifier:             High Capacity
Serial Number:                23634
Pre-Amplifier Gain:           1.000000
Spurious Noise Filter Mode:   No Filter
Photon counted:               false
Data Averaging Filter Mode:   No Filter
SR500i:
Serial Number:                
Wavelength (nm):              283
Grating Groove Density (l/mm):1199.47
Grating Blaze:                500
Output Flipper Port:          Direct
272.09531	10377
272.11646	10382
272.1376	10350
272.15875	10431
272.1799	10395
272.20105	10397
272.22217	10337
272.24332	10418
272.26447	10428
272.28561	10442
272.30676	10477
272.32791	10528
272.34906	10585
272.37021	10681
272.39133	10616
272.41248	10653
272.43362	10646
272.45477	10626
272.47592	10619
272.49707	10693
272.51819	10731
272.53934	10718
272.56049	10681
272.58163	10677
272.60278	10633
272.6239	10632
272.64505	10692
272.6662	10824
272.68735	10847
272.7085	10822
272.72961	10736
272.75076	10756
272.77191	10737
272.79303	10796
272.81418	10823
272.83533	10849
272.85648	10826
272.87759	10816
272.89874	10806
272.91989	10824
272.94101	10850
272.96216	10835
272.98331	10863
273.00443	10816
273.02557	10881
273.04672	10914
273.06784	10934
273.08899	10855
273.11014	10836
273.13126	10754
273.1524	10727
273.17352	10671
273.19467	10651
273.21582	10628
273.23694	10634
273.25809	10635
273.27921	10687
273.30035	10728
273.3215	10691
273.34262	10740
273.36377	10670
273.38489	10728
273.40604	10753
273.42715	10879
273.4483	10975
273.46942	10911
273.49057	10903
273.51169	10864
273.53284	10968
273.55396	10955
273.5751	11003
273.59622	11124
273.61737	11053
273.63849	11071
273.65964	10980
273.68076	10891
273.70187	10878
273.72302	10840
273.74414	10924
273.76529	11040
273.78641	11057
273.80756	11133
273.82867	11079
273.84979	11053
273.87094	11110
273.89206	11139
273.91318	11118
273.93433	11249
273.95544	11313
273.97659	11330
273.99771	11237
274.01883	11248
274.03998	11208
274.0611	11235
274.08221	11200
274.10333	11245
274.12448	11185
274.1456	11201
274.16672	11147
274.18787	11176
274.20898	11181
274.2301	11196
274.25122	11199
274.27237	11240
274.29349	11296
274.31461	11210
274.33572	11170
274.35687	11208
274.37799	11280
274.39911	11276
274.42023	11379
274.44135	11334
274.46249	11349
274.48361	11395
274.50473	11312
274.52585	11288
274.54697	11199
274.56812	11241
274.58923	11187
274.61035	11281
274.63147	11405
274.65259	11450
274.67371	11447
274.69482	11455
274.71594	11466
274.73709	11457
274.75821	11515
274.77933	11499
274.80045	11509
274.82156	11551
274.84268	11556
274.8638	11555
274.88492	11517
274.90604	11522
274.92715	11573
274.94827	11612
274.96939	11707
274.99051	11771
275.01163	11734
275.03275	11655
275.05386	11680
275.07498	11808
275.0961	11884
275.11722	11960
275.13834	12074
275.15945	12027
275.18057	12077
275.20169	12103
275.22281	12098
275.24393	12037
275.26505	12024
275.28616	12046
275.30728	12083
275.3284	12078
275.34952	12078
275.37061	12085
275.39172	12021
275.41284	12027
275.43396	11981
275.45508	11930
275.4762	11878
275.49731	11883
275.51843	11940
275.53952	11918
275.56064	11938
275.58176	11991
275.60287	12120
275.62399	12175
275.64508	12135
275.6662	12135
275.68732	12203
275.70844	12244
275.72955	12216
275.75064	12230
275.77176	12214
275.79288	12265
275.814	12273
275.83508	12165
275.8562	12151
275.87732	12128
275.89844	12192
275.91953	12192
275.94064	12186
275.96176	12245
275.98285	12234
276.00397	12178
276.02509	12148
276.04617	12249
276.06729	12294
276.08841	12359
276.1095	12374
276.13062	12368
276.15173	12393
276.17282	12321
276.19394	12388
276.21506	12391
276.23615	12289
276.25726	12365
276.27835	12398
276.29947	12412
276.32059	12395
276.34167	12390
276.36279	12470
276.38388	12543
276.405	12593
276.42609	12647
276.4472	12606
276.46829	12657
276.48941	12595
276.51053	12657
276.53162	12714
276.55273	12829
276.57382	12958
276.59494	12979
276.61603	12937
276.63712	12966
276.65823	12978
276.67932	13013
276.70044	12975
276.72153	13028
276.74265	13076
276.76373	13049
276.78485	13081
276.80594	13054
276.82703	13017
276.84814	12933
276.86923	12852
276.89035	12798
276.91144	12914
276.93253	13021
276.95364	13097
276.97473	13178
276.99585	13066
277.01694	13067
277.03802	13196
277.05914	13258
277.08023	13276
277.10132	13233
277.12244	13231
277.14352	13283
277.16461	13313
277.1857	13288
277.20682	13257
277.22791	13395
277.24899	13315
277.27011	13218
277.2912	13216
277.31229	13306
277.33337	13304
277.35449	13242
277.37558	13274
277.39667	13404
277.41776	13352
277.43884	13313
277.45996	13103
277.48105	13153
277.50214	13139
277.52322	13141
277.54431	13276
277.56543	13385
277.58652	13313
277.6076	13275
277.62869	13251
277.64978	13218
277.67087	13227
277.69196	13242
277.71307	13364
277.73416	13494
277.75525	13560
277.77634	13445
277.79742	13431
277.81851	13613
277.8396	13716
277.86069	13654
277.88177	13658
277.90286	13675
277.92395	13586
277.94504	13532
277.96613	13549
277.98721	13591
278.0083	13756
278.02939	13749
278.05048	13710
278.07156	13783
278.09265	13901
278.11374	13956
278.13483	13895
278.15591	13876
278.177	13901
278.19809	13850
278.21918	13870
278.24026	14041
278.26135	14077
278.28244	14041
278.30353	14030
278.32462	13996
278.3457	13898
278.36679	13966
278.38788	13921
278.40894	14091
278.43002	14204
278.45111	14081
278.4722	14143
278.49329	14189
278.51437	14245
278.53546	14254
278.55652	14254
278.57761	14184
278.59869	14227
278.61978	14133
278.64087	14153
278.66193	14254
278.68301	14260
278.7041	14271
278.72519	14258
278.74628	14334
278.76733	14461
278.78842	14490
278.80951	14525
278.8306	14514
278.85165	14462
278.87274	14354
278.89383	14305
278.91489	14154
278.93597	14025
278.95706	14068
278.97815	14214
278.99921	14207
279.02029	14238
279.04138	14095
279.06244	14167
279.08353	14127
279.10461	14073
279.12567	14124
279.14676	14261
279.16782	14426
279.1889	14456
279.20999	14439
279.23105	14417
279.25214	14481
279.27319	14577
279.29428	14550
279.31537	14601
279.33643	14647
279.35751	14688
279.37857	14579
279.39966	14450
279.42072	14322
279.4418	14378
279.46286	14394
279.48395	14520
279.505	14699
279.52609	14829
279.54715	14820
279.56824	14770
279.58929	14773
279.61038	14925
279.63144	15055
279.65253	15163
279.67358	15199
279.69467	15339
279.71573	15300
279.73682	15204
279.75787	15198
279.77893	15172
279.80002	15189
279.82108	15213
279.84216	15220
279.86322	15209
279.88428	15148
279.90536	15084
279.92642	15068
279.94751	15197
279.96857	15126
279.98962	15142
280.01071	15188
280.03177	15199
280.05283	15074
280.07391	14979
280.09497	15101
280.11603	15230
280.13708	15247
280.15817	15469
280.17923	15492
280.20029	15537
280.22137	15565
280.24243	15453
280.26349	15313
280.28455	15294
280.3056	15288
280.32669	15341
280.34775	15451
280.3688	15554
280.38986	15489
280.41095	15505
280.43201	15462
280.45306	15439
280.47412	15398
280.49518	15424
280.51624	15488
280.53732	15508
280.55838	15513
280.57944	15548
280.60049	15453
280.62155	15430
280.64261	15366
280.66367	15438
280.68472	15553
280.70581	15683
280.72687	15686
280.74792	15661
280.76898	15598
280.79004	15588
280.8111	15670
280.83215	15779
280.85321	15859
280.87427	16012
280.89532	15987
280.91638	16003
280.93744	16093
280.9585	16151
280.97955	16148
281.00061	16166
281.02167	16219
281.04272	16287
281.06378	16273
281.08484	16172
281.1059	16174
281.12695	16176
281.14801	16168
281.16907	16104
281.19012	16008
281.21118	16003
281.23224	15981
281.25327	16094
281.27432	16193
281.29538	16115
281.31644	16203
281.33749	16417
281.35855	16414
281.37961	16402
281.40067	16383
281.42169	16577
281.44275	16525
281.46381	16563
281.48486	16499
281.50592	16556
281.52698	16625
281.548	16588
281.56906	16400
281.59012	16458
281.61118	16551
281.6322	16530
281.65326	16444
281.67432	16474
281.69537	16530
281.71643	16373
281.73746	16417
281.75851	16399
281.77957	16563
281.8006	16629
281.82166	16693
281.84271	16672
281.86377	16711
281.8848	16602
281.90585	16673
281.92691	16632
281.94794	16648
281.96899	16605
281.99002	16818
282.01108	16799
282.03214	16815
282.05316	16763
282.07422	16746
282.09528	16810
282.1163	17009
282.13736	17065
282.15839	17156
282.17944	17118
282.2005	17021
282.22153	16833
282.24258	16836
282.26361	16948
282.28467	16995
282.30569	17258
282.32675	17283
282.34778	17414
282.36884	17436
282.38986	17530
282.41092	17445
282.43195	17326
282.453	17258
282.47403	17284
282.49509	17197
282.51611	17222
282.53717	17216
282.5582	17247
282.57925	17174
282.60028	17152
282.62131	17149
282.64236	17363
282.66339	17536
282.68445	17576
282.70547	17573
282.7265	17433
