# wl center%tx left%tx right%tx top%tx bottom%tx
 380.93673  0.00408  0.00239  0.00352  0.00380  0.00211
 380.94551 -0.00014  0.00014  0.00380  0.00239  0.00239
 380.95433 -0.00028  0.00028  0.00309  0.00168  0.00224
 380.96313  0.00225  0.00084  0.00366  0.00197  0.00000
 380.97195  0.00435  0.00407  0.00660  0.00351  0.00351
 380.98075  0.00436  0.00380  0.00352  0.00577  0.00296
 380.98954  0.00409  0.00155  0.00155  0.00888  0.00380
 380.99837  0.00283  0.00424  0.00452  0.00113  0.00396
 381.00716 -0.00085  0.00057  0.00226  0.00425 -0.00113
 381.01599  0.00552  0.00495  0.00608  0.00721  0.00184
 381.02478  0.00283  0.00085  0.00283  0.00255  0.00000
 381.03361  0.00666  0.00411  0.00581  0.00893  0.00468
 381.04240  0.00298  0.00383  0.00326  0.00014  0.00043
 381.05120 -0.00211 -0.00211  0.00042 -0.00155 -0.00098
 381.06002 -0.00084  0.00281  0.00056  0.00309  0.00169
 381.06880  0.00282  0.00339  0.00508  0.00310  0.00310
 381.07760  0.00380  0.00436  0.00548  0.00380  0.00295
 381.08642  0.00509  0.00396  0.00254  0.00057  0.00283
 381.09522  0.00284  0.00227  0.00369  0.00341 -0.00057
 381.10401  0.00427  0.00000  0.00399  0.00484  0.00114
 381.11284  0.00473  0.00387  0.00358  0.00358  0.00100
 381.12163  0.00401  0.00115  0.00172  0.00029  0.00115
 381.13043  0.00243  0.00558  0.00329  0.00215  0.00530
 381.13925  0.00744  0.00200  0.00229  0.00687  0.00515
 381.14805  0.01733  0.00256 -0.00114  0.00256  0.00284
 381.15684  0.00584  0.00327  0.00157  0.00071  0.00043
 381.16567  0.00171 -0.00057  0.00455  0.00285  0.00569
 381.17446  0.00525  0.00440  0.00241  0.00497  0.00270
 381.18324  0.00301  0.00588  0.00445  0.00817  0.00215
 381.19207  0.00569  0.00285  0.00512  0.00398  0.00455
 381.20086  0.00300  0.00501 -0.00043  0.00100  0.00415
 381.20966  0.00142  0.00426  0.00255  0.00255  0.00170
 381.21845  0.00410  0.00353  0.00240  0.00438  0.00381
 381.22728  0.00225  0.00197  0.00253  0.00394  0.00394
 381.23607  0.00169  0.00000  0.00141 -0.00084  0.00225
 381.24487  0.00184  0.00354  0.00325  0.00014  0.00156
 381.25366  0.00183  0.00211  0.00437  0.00127 -0.00409
 381.26249  0.00378  0.00602  0.00965  0.00434  0.00546
 381.27128  0.00363  0.00140  0.00503  0.00419  0.00251
 381.28008  0.00295  0.00211  0.00463  0.00519  0.00379
 381.28886  0.00478  0.00225  0.00169  0.00112  0.00337
 381.29768  0.00406  0.00378  0.00238  0.00294  0.00126
 381.30648  0.00197  0.00478  0.00113  0.00366  0.00197
 381.31527  0.00523  0.00354  0.00156  0.00297  0.00495
 381.32407  0.00668  0.00469  0.00298  0.00412  0.00213
 381.33286  0.00640  0.00412  0.00356  0.00555  0.00469
 381.34169  0.00438  0.00325  0.00382  0.00382  0.00184
 381.35048  0.00654  0.00512  0.00142  0.00483  0.00568
 381.35928  0.00651  0.00425  0.00311  0.00651  0.00255
 381.36807  0.00309  0.00225  0.00618  0.00197  0.00253
 381.37687  0.00380  0.00465  0.00493  0.00944  0.00380
 381.38566  0.00056  0.00085  0.00085  0.00085  0.00282
 381.39448  0.00352  0.00099  0.00070  0.00352  0.00014
 381.40327  0.00308  0.00448  0.00700  0.00280  0.00280
 381.41207  0.00435  0.00407  0.00547  0.00294  0.00435
 381.42086  0.00516  0.00460  0.00237  0.00237  0.00153
 381.42965  0.00237  0.00014  0.00153  0.00544  0.00516
 381.43845  0.00098 -0.00153  0.00098 -0.00042 -0.00209
 381.44724  0.00348  0.00264  0.00125  0.00292  0.00264
 381.45607  0.00140  0.00419  0.00419  0.00615  0.00308
 381.46486  0.00363  0.00503  0.00503  0.00279  0.00168
 381.47366  0.00042  0.00462  0.00350  0.00462  0.00378
 381.48245  0.00309 -0.00028  0.00561  0.00281  0.00084
 381.49125  0.00393  0.00337  0.00393  0.00000  0.00168
 381.50003  0.00517  0.00629  0.00629  0.00349  0.00461
 381.50883  0.00028  0.00394  0.00197  0.00084  0.00141
 381.51762  0.00056  0.00000 -0.00084 -0.00084  0.00559
 381.52642  0.00112  0.00084  0.00084  0.00422  0.00169
 381.53521  0.00364  0.00421  0.00449  0.00196  0.00084
 381.54400  0.00575  0.00239 -0.00042  0.00407  0.00603
 381.55280  0.00448  0.00448  0.00280  0.00140  0.00168
 381.56159  0.00238  0.00490  0.00434  0.00210  0.00126
 381.57039  0.00420  0.00252  0.00420  0.00532  0.00028
 381.57918  0.00238  0.00321  0.00070  0.00266  0.00070
 381.58797  0.00364  0.00532  0.00056  0.00420  0.00140
 381.59676  0.00198 -0.00028  0.00480  0.00113  0.00198
 381.60556  0.00099 -0.00014  0.00240 -0.00127  0.00099
 381.61435  0.00380  0.00324  0.00239  0.00099  0.00267
 381.62315  0.00449  0.00225  0.00534  0.00702  0.00140
 381.63194  0.00225  0.00140  0.00225  0.00337 -0.00028
 381.64074  0.00028  0.00308  0.00280  0.00224  0.00112
 381.64953  0.00377  0.00154  0.00126  0.00377  0.00489
 381.65832  0.00461  0.00126  0.00405  0.00879  0.00237
 381.66712  0.00140 -0.00280 -0.00084  0.00168 -0.00224
 381.67591  0.00169  0.00028  0.00198  0.00282  0.00000
 381.68470  0.00255  0.00339  0.00453  0.00594  0.00085
 381.69349 -0.00056  0.00338  0.00479  0.00000  0.00113
 381.70229  0.00396  0.00198  0.00254  0.00339  0.00396
 381.71108  0.00169  0.00113  0.00253  0.00310  0.00084
 381.71988  0.00281  0.00281  0.00619  0.00675 -0.00028
 381.72867  0.00379  0.00463  0.00519  0.00210  0.00575
 381.73747  0.00211  0.00183  0.00211  0.00522  0.00183
 381.74626  0.00324  0.00155 -0.00014  0.00662  0.00409
 381.75506  0.00183  0.00240  0.00268  0.00099  0.00211
 381.76385 -0.00070  0.00070  0.00295  0.00380  0.00155
 381.77261  0.00468  0.00354  0.00609  0.00326  0.00411
 381.78140  0.00169  0.00169  0.00084  0.00253  0.00451
 381.79019  0.00793 -0.00198 -0.00057  0.00255  0.00198
 381.79899  0.00028  0.00366  0.00366  0.00225  0.00141
 381.80778  0.00480  0.00028  0.00226  0.00622  0.00311
 381.81658  0.00085  0.00198  0.00226  0.00283  0.00594
 381.82537  0.00057 -0.00114  0.00085 -0.00199  0.00057
 381.83417  0.00256  0.00284  0.00256  0.00455  0.00171
 381.84293  0.00743  0.00600  0.00429  0.00543  0.00429
 381.85173  0.00724  0.00270  0.00326  0.00156  0.00185
 381.86051  0.00212  0.00099  0.00184 -0.00014  0.00467
 381.86931 -0.00240  0.00042  0.00155  0.00523  0.00438
 381.87810  0.00227  0.00170  0.00255  0.00482  0.00227
 381.88687  0.00597  0.00483  0.00682  0.00370  0.00426
 381.89566  0.00327  0.00327  0.00413  0.00299  0.00698
 381.90445 -0.00085  0.00142  0.00000  0.00484 -0.00142
 381.91325 -0.00099  0.00043  0.00014  0.00043  0.00014
 381.92204 -0.00155  0.00211  0.00070 -0.00211  0.00127
 381.93081  0.00351  0.00267  0.00126  0.00491  0.00267
 381.93960  0.00224  0.00280  0.00757  0.00308  0.00393
 381.94839 -0.00042  0.00603  0.00407  0.00463  0.00659
 381.95718  0.00324  0.00268  0.00409  0.00409  0.00239
 381.96598  0.00392  0.00140  0.00532  0.00644  0.00392
 381.97474  0.00690  0.00605  0.00465  0.00239  0.00493
 381.98354  0.00238  0.00154  0.00070 -0.00154  0.00182
 381.99233  0.00239  0.00351  0.00407  0.00267  0.00351
 382.00110  0.00154  0.00154  0.00154  0.00322  0.00266
 382.00989  0.00479  0.00536  0.00648  0.00648  0.00423
 382.01868  0.00507  0.00366  0.00394  0.00056  0.00028
 382.02747  0.00789  0.00563  0.00479  0.00254  0.00394
 382.03623  0.00453  0.00765  0.00453  0.00113  0.00453
 382.04503  0.00056  0.00310  0.00225 -0.00056  0.00281
 382.05382  0.00212  0.00212  0.00382  0.00269  0.00212
 382.06259  0.00043  0.00241  0.00554  0.00440 -0.00241
 382.07138  0.00496  0.00552  0.00581  0.00156  0.00269
 382.08018  0.00684  0.00485  0.00342  0.00513  0.00428
 382.08897 -0.00114  0.00341  0.00370  0.00455  0.00142
 382.09774  0.00356  0.00441  0.00413  0.00555 -0.00043
 382.10652 -0.00113  0.00170  0.00312  0.00708  0.00142
 382.11529  0.00554  0.00639  0.00412  0.00667  0.00582
 382.12408  0.00509  0.00226  0.00481  0.00028  0.00509
 382.13287  0.00578  0.00155  0.00211  0.00296  0.00578
 382.14164  0.00479  0.00479  0.00113  0.00705  0.00705
 382.15043  0.00382  0.00552  0.00496  0.00496  0.00750
 382.15923  0.00439  0.00410  0.00127  0.00580  0.00410
 382.16799  0.00438  0.00438  0.00495  0.00749  0.00353
 382.17679  0.00481  0.00057  0.00198  0.00339  0.00622
 382.18557  0.00693  0.00099  0.00608  0.00552  0.00523
 382.19434  0.00269  0.00241  0.00099  0.00665  0.00552
 382.20313  0.00411  0.00043  0.00610  0.00440  0.00582
 382.21190  0.00355  0.00213  0.00156  0.00753  0.00412
 382.22069  0.00383  0.00411  0.00411  0.00383  0.00355
 382.22946  0.00516  0.00488  0.00430  0.00316  0.00602
 382.23825  0.00528  0.00014  0.00043  0.00585  0.00243
 382.24705  0.00687  0.00286  0.00229  0.00687  0.00430
 382.25581  0.00514  0.00572  0.00629  0.01029  0.00514
 382.26459  0.00115  0.00459  0.00172  0.00459  0.00287
 382.27336  0.00260  0.00317  0.00289  0.00577  0.00173
 382.28215  0.00259  0.00519  0.00634  0.00461  0.00259
 382.29092  0.00202  0.00289  0.00579  0.00636  0.00463
 382.29971  0.00406  0.00348 -0.00029  0.00348  0.00493
 382.30848  0.00290  0.00493  0.00580  0.00406  0.00290
 382.31727  0.00521  0.00608  0.00463  0.01013  0.00058
 382.32604  0.00360  0.00360  0.00532  0.00590  0.00446
 382.33482  0.00130  0.00187  0.00562  0.00187  0.00303
 382.34359  0.00533  0.00389  0.00648  0.00590  0.00677
 382.35238  0.00665  0.00549  0.00434  0.00636  0.00376
 382.36115  0.00722  0.00116  0.00318  0.01098  0.00549
 382.36994  0.00131 -0.00044 -0.00218  0.00277  0.00015
 382.37870  0.00277  0.00743  0.00510  0.00743  0.00656
 382.38750  0.00174  0.00290 -0.00058  0.00349  0.00232
 382.39626  0.00306  0.00481  0.00306  0.00685  0.00394
 382.40506  0.00510  0.00073  0.00597  0.00888  0.00597
 382.41381  0.00349  0.00582  0.00146  0.00466  0.00495
 382.42261  0.00686  0.00423  0.00277  0.00248  0.00307
 382.43137  0.00424  0.00570  0.00278  0.00658  0.00278
 382.44014  0.00205 -0.00029  0.00088  0.00117  0.00059
 382.44893  0.00349  0.00466  0.00844  0.00757  0.00640
 382.45770  0.00350  0.00670  0.00466  0.00699  0.00699
 382.46649  0.00478  0.00652  0.00623  0.00188  0.00536
 382.47526  0.00087  0.00029  0.00348  0.00290 -0.00058
 382.48404  0.00580  0.00232  0.00464  0.00232  0.00464
 382.49280  0.00262 -0.00175  0.00553  0.00349  0.00204
 382.50157  0.00466  0.00437  0.00291  0.00611  0.00495
 382.51036  0.00597  0.00247  0.00626  0.00393  0.00247
 382.51913  0.00536  0.00246  0.00275  0.00420  0.00883
 382.52789  0.00548  0.00317  0.00000  0.00317  0.00317
 382.53669  0.00072  0.00245  0.00130  0.00187  0.00302
 382.54545  0.00650  0.00419  0.00447  0.00736  0.00707
 382.55421  0.00115  0.00431  0.00575  0.00546  0.00575
 382.56300  0.00388  0.00848  0.00302  0.00560  0.00790
 382.57177  0.00229  0.00029  0.00057  0.00258  0.00344
 382.58056  0.00373 -0.00029  0.00516  0.00487  0.00344
 382.58933  0.00635  0.00375  0.00578  0.00375  0.00549
 382.59809  0.00475  0.00187  0.00619  0.00647  0.00101
 382.60686  0.00433  0.00144  0.00404  0.00115  0.00058
 382.61564  0.00289  0.00491  0.00462  0.00577  0.00462
 382.62440  0.00246  0.00506  0.00593  0.00506  0.00304
 382.63317  0.00174  0.00377  0.00058  0.00406  0.00232
 382.64196  0.00174  0.00087  0.00290  0.00406  0.00319
 382.65073  0.00320  0.00494  0.00669  0.00465  0.00407
 382.65949  0.00613  0.00350  0.00671  0.00905  0.00525
 382.66829  0.00117  0.00117  0.00087  0.00321  0.00262
 382.67705  0.00392  0.00566  0.00363  0.00770  0.00915
 382.68581  0.00463  0.00608  0.00348  0.00550  0.00550
 382.69457  0.00188  0.00420  0.00304  0.00420  0.00101
 382.70337  0.00536  0.00333  0.00362  0.00362  0.00739
 382.71213  0.00642  0.00758  0.00525  0.00408  0.00642
 382.72090  0.00435  0.00261  0.00464  0.00579  0.00695
 382.72966  0.00405  0.00434  0.00491  0.00636  0.00463
 382.73842  0.00289  0.00144  0.00548  0.00404  0.00058
 382.74722  0.00506  0.00217  0.00535  0.00101  0.00130
 382.75597 -0.00173  0.00086  0.00489 -0.00259  0.00029
 382.76474  0.00476 -0.00130  0.00533  0.00274  0.00130
 382.77350  0.00477  0.00795  0.00506  0.00795  0.00535
 382.78227  0.00434  0.00260  0.00666  0.00492  0.00637
 382.79106  0.00709  0.00477  0.00043  0.00651  0.00738
 382.79983  0.00289  0.00635  0.00404  0.00578  0.00202
 382.80859  0.00421  0.00566  0.00537  0.00508  0.00247
 382.81735  0.00479  0.00653  0.00508  0.00334  0.00595
 382.82611  0.00392  0.00073  0.00363  0.00595  0.00537
 382.83488  0.00377  0.00464  0.00753  0.00493  0.00753
 382.84367  0.00522  0.00290  0.00464  0.00348  0.00435
 382.85243  0.00377  0.00261  0.00261  0.00464  0.00029
 382.86120  0.00203  0.00637  0.00463  0.00781  0.00116
 382.86996  0.00389  0.00620  0.00764  0.00533  0.00533
 382.87872  0.00548  0.00375  0.00432  0.00202  0.00375
 382.88748  0.00880  0.00678  0.00764  0.00649  0.00274
 382.89625  0.00522  0.00667  0.00551  0.00783  0.00522
 382.90504  0.00276  0.00363  0.00131  0.00276  0.00102
 382.91381  0.00580  0.00551  0.00493  0.00464  0.00783
 382.92257  0.00479  0.00334  0.00102  0.00653  0.00218
 382.93134  0.00318  0.00231  0.00405  0.00838  0.00202
 382.94009  0.00504  0.00591  0.00562  0.00591  0.00504
 382.94886  0.00448  0.00621  0.00563  0.00736  0.00996
 382.95762  0.00520  0.00029  0.00318  0.00289  0.00405
 382.96639  0.00392  0.00131  0.00334  0.00363  0.00131
 382.97515  0.00407  0.00494  0.00640  0.00611  0.00552
