Date and Time:                Sat Nov 11 15:11:50.000 2023
Software Version:             4.31.30023.0
Temperature (C):              -40
Model:                        DU940P_BU2
Data Type:                    Counts
Acquisition Mode:             Single Scan
Trigger Mode:                 Internal
Exposure Time (secs):         0.02
Readout Mode:                 Full Vertical Binning
Horizontal binning:           1
Extended Dynamic Range:       off
Horizontally flipped:         false
Vertical Shift Speed (usecs): 14.51
Pixel Readout Rate (MHz):     3
Baseline Clamp:               ON
Clock Amplitude:              Normal
Output Amplifier:             High Capacity
Serial Number:                23634
Pre-Amplifier Gain:           1.000000
Spurious Noise Filter Mode:   No Filter
Photon counted:               false
Data Averaging Filter Mode:   No Filter
SR500i:
Serial Number:                
Wavelength (nm):              300
Grating Groove Density (l/mm):1199.47
Grating Blaze:                500
Output Flipper Port:          Direct
290.00436	8896
290.02542	8922
290.04648	8962
290.06754	8983
290.08856	8974
290.10962	8994
290.13068	8973
290.15173	8992
290.17279	8982
290.19382	9026
290.21487	9022
290.23593	9076
290.25696	9071
290.27802	9051
290.29907	9058
290.32013	9135
290.34116	9105
290.36221	9091
290.38327	9124
290.4043	9163
290.42535	9183
290.44641	9192
290.46744	9213
290.48849	9257
290.50955	9196
290.53058	9268
290.55164	9259
290.57269	9256
290.59372	9317
290.61478	9320
290.63583	9335
290.65686	9381
290.67792	9354
290.69894	9363
290.72	9407
290.74103	9495
290.76208	9551
290.78314	9561
290.80417	9584
290.82523	9599
290.84625	9614
290.86731	9661
290.88834	9743
290.90939	9735
290.93042	9749
290.95148	9775
290.9725	9804
290.99356	9855
291.01459	9872
291.03564	9858
291.05667	9871
291.07773	9860
291.09875	9870
291.11981	9902
291.14084	9879
291.16187	9892
291.18292	9847
291.20395	9865
291.22501	9888
291.24603	9896
291.26706	9926
291.28812	9886
291.30914	9838
291.3302	9852
291.35123	9809
291.37225	9864
291.39331	9833
291.41434	9846
291.43536	9872
291.45642	9853
291.47745	9885
291.49847	9921
291.51953	9863
291.54056	9893
291.56158	9922
291.58264	9860
291.60367	9912
291.62469	9858
291.64572	9922
291.66678	9950
291.68781	9972
291.70883	9948
291.72986	9980
291.75092	10011
291.77194	9992
291.79297	9950
291.814	9972
291.83505	9938
291.85608	9923
291.87711	9912
291.89813	9966
291.91916	9973
291.94019	9994
291.96124	9920
291.98227	9954
292.0033	10016
292.02432	9993
292.04535	9983
292.06638	10066
292.0874	10032
292.10846	10050
292.12949	10018
292.15051	10057
292.17154	10063
292.19257	10102
292.21359	10059
292.23462	10057
292.25565	10062
292.27667	10065
292.2977	10021
292.31873	10047
292.33975	10036
292.36078	10032
292.38181	10060
292.40283	10031
292.42386	10087
292.44489	10102
292.46591	10088
292.48694	10151
292.50797	10112
292.52899	10061
292.55002	10062
292.57104	10134
292.59207	10120
292.6131	10091
292.63412	10120
292.65515	10093
292.67618	10195
292.6972	10141
292.71823	10133
292.73926	10099
292.76028	10115
292.78131	10075
292.80231	10032
292.82333	10073
292.84436	10068
292.86539	10025
292.88641	10012
292.90744	9997
292.92847	10014
292.94946	9986
292.97049	9922
292.99152	10008
293.01254	9931
293.03357	9938
293.05457	9922
293.07559	9908
293.09662	9927
293.11765	9916
293.13864	9922
293.15967	9890
293.18069	9968
293.20172	9958
293.22272	10006
293.24374	9940
293.26477	9908
293.2858	9926
293.30679	9882
293.32782	9989
293.34885	10042
293.36984	10020
293.39087	10033
293.4119	10012
293.43289	10058
293.45392	10055
293.47495	10104
293.49594	10057
293.51697	10082
293.53799	10108
293.55899	10132
293.58002	10153
293.60101	10195
293.62204	10198
293.64307	10204
293.66406	10209
293.68509	10211
293.70609	10217
293.72711	10225
293.74814	10232
293.76913	10283
293.79016	10245
293.81116	10318
293.83218	10341
293.85318	10408
293.87421	10392
293.8952	10389
293.91623	10352
293.93723	10370
293.95825	10380
293.97925	10408
294.00027	10472
294.02127	10490
294.0423	10505
294.06329	10471
294.08429	10522
294.10532	10561
294.12631	10580
294.14734	10507
294.16833	10577
294.18936	10558
294.21036	10557
294.23135	10585
294.25238	10633
294.27338	10635
294.29437	10609
294.3154	10681
294.3364	10640
294.35742	10674
294.37842	10737
294.39941	10665
294.42044	10703
