# wl 	 tx
301.5622936 0.0016469
301.5832991 0.0016403
301.6043146 0.0016280
301.6253202 0.0016217
301.6463656 0.0016176
301.6673811 0.0016077
301.6883966 0.0015939
301.7094022 0.0015865
301.7304177 0.0015844
301.7514332 0.0015679
301.7724387 0.0015569
301.7934542 0.0015558
301.8144997 0.0015449
301.8355052 0.0015353
301.8565207 0.0015308
301.8775362 0.0015234
301.8985417 0.0015047
301.9195573 0.0015006
301.9405728 0.0014909
301.9615783 0.0014762
301.9825938 0.0014736
302.0035993 0.0014674
302.0246148 0.0014617
302.0456304 0.0014504
302.0666359 0.0014394
302.0876514 0.0014347
302.1086669 0.0014235
302.1296724 0.0014194
302.1506880 0.0014152
302.1717035 0.0014102
302.1927090 0.0013982
302.2137245 0.0013996
302.2347401 0.0013909
302.2557456 0.0013794
302.2767611 0.0013736
302.2977766 0.0013676
302.3187822 0.0013627
302.3397977 0.0013610
302.3608132 0.0013619
302.3818187 0.0013496
302.4028043 0.0013497
302.4238198 0.0013451
302.4448253 0.0013419
302.4658409 0.0013434
302.4868564 0.0013406
302.5078619 0.0013365
302.5288775 0.0013342
302.5498930 0.0013332
302.5708985 0.0013329
302.5918841 0.0013304
302.6128996 0.0013289
302.6339051 0.0013288
302.6549207 0.0013294
302.6759362 0.0013281
302.6969418 0.0013329
302.7179273 0.0013288
302.7389329 0.0013398
302.7599484 0.0013405
302.7809639 0.0013405
302.8019695 0.0013423
302.8229550 0.0013452
302.8439706 0.0013515
302.8649761 0.0013567
302.8859916 0.0013585
302.9069772 0.0013614
302.9279828 0.0013702
302.9489983 0.0013763
302.9700138 0.0013780
302.9909894 0.0013933
303.0120049 0.0013926
303.0330205 0.0014009
303.0539961 0.0014124
303.0750116 0.0014234
303.0960271 0.0014276
303.1170027 0.0014371
303.1380183 0.0014466
303.1590238 0.0014639
303.1800394 0.0014740
303.2010249 0.0014785
303.2220305 0.0014843
303.2430161 0.0014991
303.2640316 0.0015142
303.2850372 0.0015268
303.3060227 0.0015354
303.3270383 0.0015512
303.3480438 0.0015672
303.3690294 0.0015747
303.3900450 0.0015887
303.4110205 0.0016008
303.4320361 0.0016157
303.4530417 0.0016332
