# wl center%tx left%tx right%tx top%tx bottom%tx
 380.71715  0.00066  0.00066  0.00066 -0.00182 -0.00050
 380.73770  0.00267  0.00217  0.00217  0.00150  0.00117
 380.75829  0.00033  0.00200  0.00133 -0.00083 -0.00017
 380.77885  0.00117 -0.00067  0.00217  0.00050 -0.00017
 380.79943  0.00352  0.00100 -0.00100  0.00033  0.00000
 380.81999  0.00149  0.00199  0.00149  0.00265  0.00265
 380.84055 -0.00149 -0.00215 -0.00099 -0.00050 -0.00264
 380.86114  0.00066  0.00049  0.00066  0.00049 -0.00016
 380.88170  0.00082  0.00066  0.00016  0.00181  0.00016
 380.90225 -0.00099 -0.00182 -0.00182 -0.00149 -0.00331
 380.92284 -0.00148 -0.00246 -0.00181 -0.00246 -0.00509
 380.94339 -0.00149 -0.00099 -0.00099 -0.00149 -0.00231
 380.96398  0.00131 -0.00049  0.00066  0.00262 -0.00131
 380.98453  0.00297  0.00461  0.00132  0.00379  0.00231
 381.00509 -0.00098 -0.00082  0.00115 -0.00016 -0.00049
 381.02568 -0.00229 -0.00033 -0.00229 -0.00033 -0.00065
 381.04624  0.00049  0.00180  0.00033  0.00082 -0.00278
 381.06680 -0.00179  0.00082 -0.00098  0.00049 -0.00065
 381.08738 -0.00033 -0.00114 -0.00147 -0.00229 -0.00033
 381.10794 -0.00016 -0.00049 -0.00178 -0.00373 -0.00211
 381.12850 -0.00261 -0.00195 -0.00147 -0.00228 -0.00342
 381.14905  0.00229  0.00311  0.00180  0.00213  0.00131
 381.16964  0.00114 -0.00065  0.00098  0.00098  0.00033
 381.19019 -0.00016 -0.00164  0.00033 -0.00082 -0.00328
 381.21075 -0.00082 -0.00326 -0.00163 -0.00082 -0.00212
 381.23131 -0.00049 -0.00163 -0.00261 -0.00049 -0.00114
 381.25190  0.00065  0.00049  0.00211  0.00146  0.00081
 381.27246  0.00081  0.00097  0.00065  0.00065  0.00000
 381.29301  0.00048 -0.00016 -0.00032 -0.00113 -0.00113
 381.31357  0.00016 -0.00032 -0.00065 -0.00048  0.00032
 381.33416  0.00145 -0.00065 -0.00194 -0.00129  0.00065
 381.35471  0.00064  0.00048 -0.00064  0.00096 -0.00176
 381.37527  0.00241  0.00208  0.00128  0.00192  0.00160
 381.39582 -0.00080 -0.00064 -0.00064 -0.00032 -0.00112
 381.41638 -0.00145  0.00016 -0.00096  0.00064 -0.00048
 381.43697 -0.00065  0.00016  0.00065 -0.00113 -0.00048
 381.45753  0.00097 -0.00016 -0.00097 -0.00016 -0.00130
 381.47809  0.00278 -0.00033  0.00147  0.00082  0.00147
 381.49864 -0.00081 -0.00049  0.00211  0.00065  0.00081
 381.51920  0.00049  0.00194  0.00146  0.00081  0.00081
 381.53975 -0.00032 -0.00113  0.00065 -0.00048  0.00016
 381.56031 -0.00194 -0.00323 -0.00097 -0.00403 -0.00210
 381.58090  0.00097  0.00161  0.00161  0.00129  0.00000
 381.60145  0.00032  0.00112  0.00304  0.00176  0.00160
 381.62201 -0.00112 -0.00064 -0.00225 -0.00193 -0.00257
 381.64257  0.00032 -0.00032  0.00144  0.00160 -0.00064
 381.66313  0.00048 -0.00032  0.00000 -0.00097 -0.00064
 381.68368 -0.00113  0.00161  0.00048  0.00242  0.00016
 381.70424  0.00128  0.00048  0.00000  0.00112  0.00225
 381.72479  0.00113  0.00243 -0.00016 -0.00226  0.00000
 381.74535 -0.00081 -0.00194 -0.00065 -0.00178 -0.00113
 381.76591 -0.00097 -0.00032 -0.00130 -0.00195 -0.00114
 381.78646 -0.00162 -0.00162 -0.00162 -0.00406 -0.00211
 381.80702  0.00065  0.00065  0.00049  0.00082 -0.00016
 381.82758  0.00114 -0.00114  0.00195  0.00000  0.00081
 381.84814  0.00080 -0.00016 -0.00128  0.00032 -0.00112
 381.86873  0.00161  0.00129  0.00064  0.00081 -0.00193
 381.88928  0.00000 -0.00129  0.00048  0.00080 -0.00048
 381.90984  0.00081  0.00276 -0.00016 -0.00114  0.00179
 381.93039  0.00000  0.00179 -0.00065 -0.00049 -0.00016
 381.95092  0.00162  0.00032 -0.00114  0.00065  0.00114
 381.97148  0.00164  0.00164  0.00262  0.00016  0.00245
 381.99203 -0.00179 -0.00293 -0.00212 -0.00326 -0.00407
 382.01259  0.00098  0.00049  0.00180  0.00180  0.00278
 382.03315 -0.00163 -0.00016 -0.00033 -0.00081  0.00081
 382.05371  0.00065 -0.00130 -0.00049  0.00049 -0.00130
 382.07427  0.00000  0.00260  0.00130  0.00146 -0.00016
 382.09481 -0.00146 -0.00113 -0.00340 -0.00081 -0.00162
 382.11537 -0.00097 -0.00114  0.00065  0.00081 -0.00097
 382.13593  0.00000 -0.00016 -0.00016  0.00065  0.00113
 382.15649  0.00099  0.00131  0.00164  0.00000  0.00049
 382.17705 -0.00280 -0.00412 -0.00148 -0.00280 -0.00444
 382.19760  0.00000  0.00065 -0.00016  0.00033 -0.00082
 382.21816 -0.00016 -0.00131 -0.00229 -0.00294 -0.00065
 382.23869  0.00129 -0.00210  0.00032 -0.00065 -0.00032
 382.25924  0.00016  0.00178  0.00130  0.00195 -0.00097
 382.27980 -0.00161 -0.00258 -0.00274 -0.00226 -0.00322
 382.30035  0.00146  0.00211  0.00292  0.00130  0.00244
 382.32091 -0.00147 -0.00098 -0.00147 -0.00065 -0.00244
 382.34147  0.00113  0.00194  0.00178  0.00357 -0.00065
 382.36203 -0.00194 -0.00162 -0.00162 -0.00049 -0.00065
 382.38256  0.00128  0.00048  0.00176 -0.00064 -0.00256
 382.40311  0.00210 -0.00032  0.00145  0.00129 -0.00016
 382.42366 -0.00096  0.00193  0.00048  0.00080  0.00032
 382.44422 -0.00016  0.00177 -0.00048  0.00032  0.00000
 382.46478 -0.00016  0.00193  0.00096  0.00096  0.00016
 382.48531  0.00302  0.00000  0.00048  0.00032  0.00159
 382.50586  0.00080 -0.00048 -0.00176 -0.00128 -0.00096
 382.52642  0.00080 -0.00016 -0.00080 -0.00016 -0.00112
 382.54698  0.00032  0.00243 -0.00097  0.00049  0.00000
 382.56751  0.00016  0.00097  0.00016  0.00211 -0.00049
 382.58806 -0.00065 -0.00097 -0.00081 -0.00097 -0.00194
 382.60861 -0.00161 -0.00225 -0.00273 -0.00209  0.00000
 382.62917 -0.00223 -0.00287 -0.00223 -0.00223 -0.00128
 382.64970  0.00208  0.00160  0.00016  0.00032  0.00000
 382.67026  0.00064  0.00112  0.00016  0.00048 -0.00032
 382.69082  0.00032  0.00016  0.00016  0.00127  0.00080
 382.71137  0.00095  0.00207  0.00048  0.00048  0.00223
 382.73190 -0.00063 -0.00079 -0.00079 -0.00095  0.00079
 382.75245  0.00016 -0.00016  0.00159 -0.00127 -0.00175
 382.77301 -0.00174 -0.00142  0.00047 -0.00127  0.00032
 382.79354  0.00000  0.00032 -0.00064  0.00111 -0.00016
 382.81409  0.00095  0.00238  0.00238  0.00111  0.00111
 382.83465  0.00222  0.00063  0.00412  0.00301  0.00111
 382.85518 -0.00096 -0.00112 -0.00048 -0.00160  0.00032
 382.87574 -0.00048  0.00096 -0.00112 -0.00096 -0.00176
 382.89626  0.00113  0.00161  0.00000  0.00000  0.00113
 382.91681 -0.00048 -0.00129 -0.00161 -0.00145 -0.00032
 382.93737  0.00145  0.00065  0.00081  0.00000  0.00048
 382.95790 -0.00080 -0.00080  0.00064  0.00112  0.00064
 382.97846 -0.00240  0.00016  0.00032 -0.00144 -0.00192
 382.99899  0.00049  0.00032 -0.00016  0.00016 -0.00049
 383.01954  0.00048  0.00032  0.00032 -0.00016  0.00048
 383.04010  0.00064  0.00145  0.00000 -0.00032  0.00032
 383.06062 -0.00048 -0.00096  0.00016  0.00064  0.00032
 383.08118 -0.00095 -0.00095 -0.00080 -0.00254 -0.00032
 383.10171 -0.00095  0.00080  0.00127 -0.00016 -0.00111
 383.12226  0.00047 -0.00047 -0.00016  0.00032 -0.00237
 383.14279 -0.00079 -0.00095 -0.00079 -0.00143 -0.00095
 383.16335  0.00158  0.00126  0.00205  0.00142  0.00221
