Date and Time:                Thu Apr 7 12:41:22.000 2022
Software Version:             4.31.30023.0
Temperature (C):              -40
Model:                        DU940P_BU2
Data Type:                    Counts
Acquisition Mode:             Single Scan
Trigger Mode:                 Internal
Exposure Time (secs):         1
Readout Mode:                 Full Vertical Binning
Horizontal binning:           1
Extended Dynamic Range:       off
Horizontally flipped:         false
Vertical Shift Speed (usecs): 14.51
Pixel Readout Rate (MHz):     3
Baseline Clamp:               ON
Clock Amplitude:              Normal
Output Amplifier:             High Capacity
Serial Number:                23634
Pre-Amplifier Gain:           1.000000
Spurious Noise Filter Mode:   No Filter
Photon counted:               false
Data Averaging Filter Mode:   No Filter
SR500i:
Serial Number:                
Wavelength (nm):              388
Grating Groove Density (l/mm):2400
Grating Blaze:                BH
Output Flipper Port:          Direct
385.17032	335
385.17905	337
385.18774	335
385.19647	336
385.20517	328
385.21387	338
385.2226	337
385.23129	342
385.24002	337
385.24872	339
385.25742	346
385.26614	338
385.27484	341
385.28357	340
385.29227	339
385.30096	346
385.30969	346
385.31839	351
385.32709	349
385.33582	348
385.34451	345
385.35321	353
385.36194	347
385.37064	351
385.37933	346
385.38806	354
385.39676	356
385.40546	351
385.41418	347
385.42288	356
385.43158	344
385.44028	360
385.44901	357
385.4577	355
385.4664	355
385.47513	359
385.48383	358
385.49252	355
385.50122	356
385.50992	367
385.51865	359
385.52734	364
385.53604	366
385.54474	370
385.55344	368
385.56216	375
385.57086	362
385.57956	368
385.58826	367
385.59695	371
385.60565	378
385.61438	372
385.62308	376
385.63177	381
385.64047	371
385.64917	385
385.65787	377
385.66656	384
385.67526	381
385.68396	377
385.69269	389
385.70139	382
385.71008	383
385.71878	390
385.72748	392
385.73618	392
385.74487	400
385.75357	392
385.76227	398
385.77097	393
385.77966	398
385.78836	397
385.79706	403
385.80576	409
385.81445	404
385.82315	401
385.83185	414
385.84055	405
385.84924	412
385.85794	403
385.86664	409
385.87534	409
385.88403	411
385.89273	414
385.90143	423
385.91013	419
385.91882	413
385.92752	422
385.93619	422
385.94489	432
385.95358	427
385.96228	440
385.97098	431
385.97968	430
385.98837	434
385.99707	436
386.00574	439
386.01443	450
386.02313	447
386.03183	439
386.04053	446
386.04922	440
386.05792	445
386.06659	445
386.07529	455
386.08398	452
386.09268	456
386.10138	452
386.11005	462
386.11874	463
386.12744	466
386.13614	474
386.14481	469
386.1535	478
386.1622	481
386.1709	479
386.17957	478
386.18826	486
386.19696	484
386.20563	478
386.21432	481
386.22302	488
386.23172	492
386.24039	490
386.24908	496
386.25778	494
386.26645	494
386.27515	508
386.28384	514
386.29251	514
386.30121	507
386.30991	519
386.31857	526
386.32727	519
386.33594	525
386.34464	528
386.35333	536
386.362	539
386.3707	546
386.37936	549
386.38806	545
386.39676	548
386.40543	550
386.41412	559
386.42279	564
386.43149	560
386.44016	563
386.44885	575
386.45752	575
386.46622	575
386.47488	579
386.48358	591
386.49225	592
386.50095	606
386.50961	606
386.51831	618
386.52698	614
386.53568	624
386.54434	635
386.55304	633
386.56171	628
386.5704	651
386.57907	652
386.58777	660
386.59644	664
386.6051	664
386.6138	688
386.62247	685
386.63116	692
386.63983	711
386.6485	710
386.6572	720
386.66586	738
386.67453	744
386.68323	751
386.69189	749
386.70059	772
386.70926	779
386.71793	781
386.72662	795
386.73529	819
386.74396	831
386.75262	841
386.76132	844
386.76999	869
386.77866	876
386.78735	888
386.79602	909
386.80469	926
386.81335	937
386.82205	956
386.83072	973
386.83939	987
386.84805	1014
386.85675	1029
386.86542	1065
386.87408	1066
386.88275	1090
386.89145	1122
386.90012	1143
386.90878	1161
386.91745	1197
386.92612	1245
386.93478	1262
386.94348	1285
386.95215	1322
386.96082	1358
386.96948	1394
386.97815	1438
386.98682	1463
386.99551	1505
387.00418	1529
387.01285	1585
387.02151	1638
387.03018	1692
387.03885	1722
387.04752	1786
387.05618	1878
387.06485	1897
387.07352	1948
387.08218	2043
387.09088	2107
387.09955	2153
387.10822	2223
387.11688	2320
387.12555	2392
387.13422	2448
387.14288	2562
387.15155	2676
387.16022	2771
387.16888	2859
387.17755	2986
387.18622	3099
387.19489	3203
387.20355	3319
387.21222	3457
387.22089	3637
387.22955	3763
387.23822	3910
387.24689	4123
387.25552	4283
387.26419	4415
387.27286	4651
387.28152	4887
387.29019	5054
387.29886	5251
387.30753	5552
387.31619	5818
387.32486	5995
387.33353	6294
387.34216	6639
387.35083	6887
387.3595	7144
387.36816	7561
387.37683	7929
387.3855	8255
387.39417	8639
387.4028	9102
387.41147	9481
387.42014	9843
387.4288	10389
387.43747	10991
387.44611	11380
387.45477	11807
387.46344	12437
387.47211	13117
387.48077	13560
387.48941	14069
387.49808	14817
387.50674	15455
387.51541	15943
387.52405	16660
387.53271	17501
387.54138	18140
387.55002	18637
387.55869	19408
387.56735	20177
387.57602	20779
387.58466	21301
387.59332	22169
387.60199	22881
387.61063	23359
387.61929	24054
387.62796	24853
387.6366	25484
387.64526	25969
387.65393	26678
387.66257	27417
387.67123	27770
387.67987	28307
387.68854	28952
387.6972	29538
387.70584	29844
387.71451	30344
387.72314	30725
387.73181	31100
387.74048	31381
387.74911	31876
387.75778	32094
387.76642	32223
387.77509	32459
387.78372	32649
387.79239	32714
