Date and Time:                Thu Apr 7 12:38:50.000 2022
Software Version:             4.31.30023.0
Temperature (C):              -40
Model:                        DU940P_BU2
Data Type:                    Counts
Acquisition Mode:             Single Scan
Trigger Mode:                 Internal
Exposure Time (secs):         1
Readout Mode:                 Full Vertical Binning
Horizontal binning:           1
Extended Dynamic Range:       off
Horizontally flipped:         false
Vertical Shift Speed (usecs): 14.51
Pixel Readout Rate (MHz):     3
Baseline Clamp:               ON
Clock Amplitude:              Normal
Output Amplifier:             High Capacity
Serial Number:                23634
Pre-Amplifier Gain:           1.000000
Spurious Noise Filter Mode:   No Filter
Photon counted:               false
Data Averaging Filter Mode:   No Filter
SR500i:
Serial Number:                
Wavelength (nm):              388
Grating Groove Density (l/mm):2400
Grating Blaze:                BH
Output Flipper Port:          Direct
383.37167	311
383.38043	312
383.38919	313
383.39792	310
383.40668	305
383.41544	308
383.42419	309
383.43292	309
383.44168	309
383.45044	306
383.45917	307
383.46793	310
383.47668	317
383.48541	307
383.49417	312
383.50293	313
383.51166	314
383.52042	306
383.52917	311
383.5379	308
383.54666	312
383.55539	316
383.56415	312
383.57291	314
383.58163	312
383.59039	313
383.59912	314
383.60788	313
383.61664	311
383.62537	312
383.63412	311
383.64285	314
383.65161	306
383.66034	322
383.6691	310
383.67786	309
383.68658	311
383.69534	314
383.70407	317
383.71283	311
383.72156	308
383.73032	314
383.73904	314
383.7478	308
383.75653	316
383.76526	310
383.77402	306
383.78275	314
383.7915	311
383.80023	306
383.80899	315
383.81772	318
383.82648	309
383.83521	312
383.84393	319
383.85269	315
383.86142	315
383.87018	311
383.87891	311
383.88763	315
383.89639	313
383.90512	315
383.91388	313
383.92261	312
383.93134	314
383.94009	310
383.94882	317
383.95755	308
383.96631	311
383.97504	312
383.98376	317
383.99252	311
384.00125	317
384.00998	322
384.01871	311
384.02747	317
384.03619	312
384.04492	311
384.05368	317
384.06241	315
384.07114	316
384.07986	316
384.08862	317
384.09735	317
384.10608	307
384.11481	316
384.12354	320
384.13229	310
384.14102	311
384.14975	314
384.15848	318
384.16721	320
384.17596	317
384.18469	313
384.19342	317
384.20215	313
384.21088	322
384.2196	313
384.22836	320
384.23709	311
384.24582	309
384.25455	313
384.26328	319
384.272	312
384.28073	317
384.28946	312
384.29822	315
384.30695	321
384.31567	317
384.3244	314
384.33313	313
384.34186	316
384.35059	316
384.35931	319
384.36804	320
384.37677	320
384.3855	311
384.39423	318
384.40295	323
384.41168	323
384.42041	312
384.42914	312
384.43787	322
384.44659	311
384.45532	320
384.46405	318
384.47278	320
384.48151	315
384.49023	316
384.49896	317
384.50769	323
384.51642	316
384.52515	323
384.53387	325
384.5426	320
384.5513	320
384.56003	324
384.56876	323
384.57748	320
384.58621	319
384.59494	324
384.60367	322
384.6124	313
384.62112	318
384.62982	326
384.63855	326
384.64728	323
384.65601	324
384.66473	318
384.67346	324
384.68216	314
384.69089	317
384.69962	321
384.70834	323
384.71707	318
384.72577	322
384.7345	316
384.74323	318
384.75195	315
384.76065	324
384.76938	312
384.77811	318
384.78683	326
384.79553	320
384.80426	322
384.81299	323
384.82172	319
384.83041	330
384.83914	318
384.84787	318
384.85657	330
384.8653	323
384.87402	321
384.88272	329
384.89145	323
384.90018	319
384.90887	326
384.9176	323
384.92633	312
384.93503	323
384.94376	322
384.95248	323
384.96118	324
384.96991	331
384.97861	326
384.98734	329
384.99606	325
385.00476	325
385.01349	323
385.02219	329
385.03091	329
385.03964	330
385.04834	329
385.05707	324
385.06577	329
385.07449	325
385.08319	326
385.09192	333
385.10062	333
385.10934	324
385.11804	328
385.12677	332
385.13547	326
385.1442	327
385.15289	322
385.16162	327
385.17032	329
385.17905	329
385.18774	333
385.19647	331
385.20517	334
385.21387	332
385.2226	330
385.23129	330
385.24002	326
385.24872	327
385.25742	337
385.26614	329
385.27484	324
385.28357	334
385.29227	338
385.30096	330
385.30969	336
385.31839	343
385.32709	340
385.33582	333
385.34451	337
385.35321	339
385.36194	337
385.37064	337
385.37933	340
385.38806	334
385.39676	337
385.40546	347
385.41418	351
385.42288	346
385.43158	337
385.44028	341
385.44901	341
385.4577	335
385.4664	345
385.47513	345
385.48383	349
385.49252	344
385.50122	345
385.50992	342
385.51865	346
385.52734	349
385.53604	346
385.54474	351
385.55344	350
385.56216	351
385.57086	349
385.57956	354
385.58826	350
385.59695	353
385.60565	356
385.61438	352
385.62308	359
385.63177	354
385.64047	361
385.64917	357
385.65787	352
385.66656	354
385.67526	363
385.68396	358
385.69269	356
385.70139	362
385.71008	357
385.71878	367
385.72748	366
385.73618	370
385.74487	367
385.75357	366
385.76227	363
385.77097	369
385.77966	370
385.78836	367
385.79706	373
385.80576	370
385.81445	370
385.82315	366
385.83185	368
385.84055	374
385.84924	367
385.85794	375
385.86664	370
385.87534	378
385.88403	369
385.89273	374
385.90143	378
385.91013	383
385.91882	374
385.92752	384
385.93619	388
385.94489	383
385.95358	374
385.96228	377
385.97098	383
385.97968	377
385.98837	384
385.99707	381
386.00574	383
386.01443	389
386.02313	391
386.03183	402
386.04053	390
386.04922	390
386.05792	391
386.06659	396
386.07529	396
386.08398	394
386.09268	393
386.10138	399
386.11005	395
386.11874	404
386.12744	400
386.13614	403
386.14481	407
386.1535	403
386.1622	407
386.1709	413
386.17957	416
386.18826	413
386.19696	410
386.20563	412
386.21432	410
386.22302	425
386.23172	425
386.24039	423
386.24908	422
386.25778	421
386.26645	428
386.27515	417
386.28384	431
386.29251	428
386.30121	428
386.30991	436
386.31857	435
386.32727	441
386.33594	446
386.34464	448
386.35333	447
386.362	445
386.3707	445
386.37936	453
386.38806	453
386.39676	454
386.40543	455
386.41412	454
386.42279	464
386.43149	471
386.44016	459
386.44885	456
386.45752	472
386.46622	466
386.47488	477
386.48358	475
386.49225	484
386.50095	480
386.50961	480
386.51831	497
386.52698	497
386.53568	502
386.54434	505
386.55304	504
386.56171	508
386.5704	516
386.57907	527
386.58777	525
386.59644	522
386.6051	533
386.6138	535
386.62247	539
386.63116	547
386.63983	539
386.6485	557
386.6572	554
386.66586	559
386.67453	570
386.68323	579
386.69189	583
386.70059	582
386.70926	591
386.71793	605
386.72662	615
386.73529	621
386.74396	619
386.75262	628
386.76132	643
386.76999	647
386.77866	651
386.78735	654
386.79602	680
386.80469	680
386.81335	700
386.82205	702
386.83072	713
386.83939	724
386.84805	735
386.85675	747
386.86542	763
386.87408	776
386.88275	784
386.89145	795
386.90012	814
386.90878	835
386.91745	857
386.92612	876
386.93478	878
386.94348	910
386.95215	917
386.96082	944
386.96948	968
386.97815	984
386.98682	1007
386.99551	1030
387.00418	1049
387.01285	1082
387.02151	1106
387.03018	1130
387.03885	1168
387.04752	1208
387.05618	1234
387.06485	1257
387.07352	1308
387.08218	1333
387.09088	1376
387.09955	1411
387.10822	1456
387.11688	1483
387.12555	1547
387.13422	1583
387.14288	1646
387.15155	1692
387.16022	1744
387.16888	1817
387.17755	1892
387.18622	1931
387.19489	2002
387.20355	2071
387.21222	2141
387.22089	2210
387.22955	2298
387.23822	2391
387.24689	2468
387.25552	2575
387.26419	2665
387.27286	2756
387.28152	2854
387.29019	2960
387.29886	3122
387.30753	3187
387.31619	3346
387.32486	3468
387.33353	3644
387.34216	3730
387.35083	3852
387.3595	4062
387.36816	4217
387.37683	4367
387.3855	4604
387.39417	4799
387.4028	4989
387.41147	5209
387.42014	5450
387.4288	5715
387.43747	5931
387.44611	6175
387.45477	6486
387.46344	6764
387.47211	7087
387.48077	7355
387.48941	7684
387.49808	7976
387.50674	8346
387.51541	8754
387.52405	9171
387.53271	9596
387.54138	9973
387.55002	10410
387.55869	10898
387.56735	11281
387.57602	11770
387.58466	12288
387.59332	12801
387.60199	13335
387.61063	13908
387.61929	14507
387.62796	15071
387.6366	15766
387.64526	16483
387.65393	17137
387.66257	17724
387.67123	18445
387.67987	19157
387.68854	19779
387.6972	20581
387.70584	21411
387.71451	22060
387.72314	22706
387.73181	23484
387.74048	24220
387.74911	24961
387.75778	25586
387.76642	26314
387.77509	26828
387.78372	27373
387.79239	28007
387.80103	28484
387.80969	29085
387.81833	29689
387.827	30115
387.83563	30589
387.8443	31280
387.85294	31835
387.8616	32031
387.87024	32260
387.87891	32607
387.88754	32829
387.89621	33128
387.90485	33361
387.91351	33683
387.92215	33745
387.93082	33938
387.93945	34104
387.94809	34244
387.95676	34178
387.96539	34188
387.97406	34158
387.9827	34356
387.99133	34407
388	34100
388.00864	34338
388.0173	34616
388.02594	34522
388.03458	34593
388.04324	34656
388.05188	34713
388.06052	34671
388.06918	34583
388.07782	34700
388.08646	34679
388.09512	34647
388.10376	34877
388.1124	34911
388.12103	35167
388.1297	35206
388.13834	35400
388.14697	35523
388.15564	35496
388.16428	35589
388.17291	35615
388.18155	35761
388.19022	35867
388.19885	35960
388.20749	36108
388.21613	36350
388.22476	36627
388.23343	36695
388.24207	36852
388.2507	36861
388.25934	37138
388.26797	37422
388.27664	37570
388.28528	37866
388.29391	38351
388.30255	38463
388.31119	38399
388.31982	38687
388.32846	38770
388.33713	38973
388.34576	38998
388.3544	38853
388.36304	39097
388.37167	39033
388.38031	38843
388.38895	38619
388.39758	38513
388.40622	38316
388.41486	38109
388.42349	38058
388.43216	37880
388.4408	37636
388.44943	37228
388.45807	36610
388.46671	36082
388.47534	35814
388.48398	35306
388.49261	34772
388.50125	34281
388.50989	33610
388.51852	32737
388.52716	31912
388.5358	31131
388.54443	30273
388.55307	29276
388.56171	28454
388.57034	27633
388.57895	26693
388.58759	25690
388.59622	24941
388.60486	24010
388.61349	23143
388.62213	22238
388.63077	21338
388.6394	20523
388.64804	19614
388.65668	18800
388.66531	18021
388.67392	17226
