# wl center_tx left_tx right_tx top_tx bottom_tx
263.1907991 0.0003343 0.0003016 0.0003933 0.0002950 0.0003343
263.2006224 0.0003877 0.0004074 0.0003023 0.0007097 0.0004271
263.2104256 0.0003214 0.0003739 0.0003608 0.0004460 0.0003870
263.2202589 0.0003874 0.0004071 0.0003874 0.0003809 0.0003283
263.2300522 0.0003808 0.0003808 0.0003283 0.0004333 0.0004530
263.2398854 0.0003687 0.0003160 0.0003029 0.0003095 0.0003819
263.2496787 0.0003486 0.0004275 0.0003617 0.0004275 0.0003551
263.2595120 0.0004407 0.0003749 0.0004012 0.0004407 0.0003946
263.2693152 0.0003424 0.0004280 0.0004148 0.0003819 0.0003556
263.2791385 0.0003643 0.0004438 0.0004438 0.0004173 0.0004107
263.2889418 0.0002991 0.0002925 0.0003523 0.0003124 0.0002991
263.2987750 0.0002655 0.0002921 0.0003518 0.0002921 0.0002655
263.3085683 0.0003849 0.0003849 0.0003318 0.0004180 0.0004114
263.3184016 0.0002650 0.0003180 0.0003313 0.0003313 0.0003512
263.3282048 0.0003251 0.0004511 0.0004246 0.0004445 0.0004776
263.3379981 0.0003794 0.0004260 0.0003661 0.0004260 0.0004593
263.3478314 0.0004187 0.0003722 0.0003589 0.0003323 0.0003921
263.3576246 0.0003769 0.0004298 0.0003372 0.0003372 0.0004298
263.3674579 0.0003742 0.0003151 0.0003019 0.0003348 0.0003216
263.3772611 0.0003077 0.0003863 0.0003732 0.0003208 0.0003994
263.3870844 0.0003990 0.0004645 0.0003925 0.0004775 0.0003925
263.3968877 0.0002873 0.0003917 0.0003068 0.0003525 0.0003460
263.4066909 0.0003792 0.0003596 0.0003661 0.0003727 0.0003596
263.4165142 0.0003997 0.0003146 0.0003604 0.0003866 0.0003735
263.4263175 0.0003882 0.0004014 0.0004211 0.0004803 0.0004343
263.4361508 0.0003684 0.0003816 0.0003619 0.0003948 0.0005527
263.4459440 0.0002560 0.0004005 0.0003414 0.0003480 0.0003545
263.4557473 0.0004063 0.0003604 0.0003670 0.0004391 0.0004391
263.4655705 0.0004301 0.0004500 0.0004698 0.0003838 0.0003441
263.4753738 0.0003650 0.0003982 0.0003783 0.0003717 0.0004181
263.4851771 0.0004500 0.0004368 0.0003772 0.0003904 0.0004037
263.4950003 0.0003036 0.0003564 0.0004092 0.0003630 0.0003894
263.5048036 0.0003755 0.0004282 0.0003096 0.0003820 0.0003820
263.5146069 0.0004084 0.0004216 0.0003359 0.0004281 0.0003689
263.5244301 0.0004534 0.0004206 0.0004272 0.0004074 0.0003877
263.5342334 0.0003882 0.0005001 0.0005330 0.0005067 0.0004343
263.5440667 0.0003309 0.0004500 0.0003838 0.0003309 0.0003243
