Date and Time:                Thu Apr 7 15:59:48.000 2022
Software Version:             4.31.30023.0
Temperature (C):              -40
Model:                        DU940P_BU2
Data Type:                    Counts
Acquisition Mode:             Single Scan
Trigger Mode:                 Internal
Exposure Time (secs):         2.5
Readout Mode:                 Full Vertical Binning
Horizontal binning:           1
Extended Dynamic Range:       off
Horizontally flipped:         false
Vertical Shift Speed (usecs): 14.51
Pixel Readout Rate (MHz):     3
Baseline Clamp:               ON
Clock Amplitude:              Normal
Output Amplifier:             High Capacity
Serial Number:                23634
Pre-Amplifier Gain:           1.000000
Spurious Noise Filter Mode:   No Filter
Photon counted:               false
Data Averaging Filter Mode:   No Filter
SR500i:
Serial Number:                
Wavelength (nm):              279
Grating Groove Density (l/mm):2400
Grating Blaze:                BH
Output Flipper Port:          Direct
275.88361	310
275.89328	310
275.90295	311
275.91263	319
275.9223	309
275.93198	313
275.94162	309
275.95129	308
275.96097	319
275.97064	310
275.98032	312
275.98999	312
275.99966	308
276.00934	315
276.01901	314
276.02869	318
276.03836	309
276.04803	316
276.05771	304
276.06735	309
276.07703	306
276.0867	314
276.09637	315
276.10605	314
276.11572	316
276.1254	315
276.13507	308
276.14471	314
276.15439	307
276.16406	314
276.17374	310
276.18341	310
276.19308	311
276.20273	313
276.2124	310
276.22208	316
276.23175	307
276.24142	309
276.2511	313
276.26074	319
276.27042	314
276.28009	319
276.28976	318
276.29941	308
276.30908	310
276.31876	317
276.32843	311
276.33807	317
276.34775	309
276.35742	309
276.3671	313
276.37674	308
276.38641	314
276.39609	314
276.40576	314
276.41541	316
276.42508	311
276.43475	314
276.4444	314
276.45407	308
276.46375	309
276.47339	311
276.48306	314
276.49274	312
276.50238	313
276.51205	325
276.52173	310
276.53137	312
276.54105	312
276.55072	317
276.56036	310
276.57004	314
276.57971	309
276.58936	326
276.59903	313
276.60867	317
276.61835	315
276.62802	312
276.63766	316
276.64734	319
276.65698	317
276.66666	314
276.67633	317
276.68597	313
276.69565	315
276.70529	316
276.71497	311
276.72461	314
276.73428	313
276.74393	315
276.7536	309
276.76324	303
276.77292	314
276.78256	312
276.79224	313
276.80188	315
276.81155	310
276.8212	320
276.83087	313
276.84052	315
276.85019	315
276.85983	316
276.86951	313
276.87915	318
276.88882	315
276.89847	315
276.90814	319
276.91779	312
276.92746	320
276.9371	315
276.94675	322
276.95642	318
276.96606	317
276.97574	310
276.98538	320
276.99506	313
277.0047	310
277.01434	318
277.02402	311
277.03366	317
277.0433	316
277.05298	320
277.06262	318
277.0723	320
277.08194	314
277.09158	316
277.10126	316
277.1109	321
277.12054	314
277.13022	318
277.13986	312
277.14951	314
277.15918	315
277.16882	326
277.17847	318
277.18811	313
277.19778	319
277.20743	315
277.21707	316
277.22675	315
277.23639	308
277.24603	318
277.25568	317
277.26535	319
277.27499	318
277.28464	320
277.29428	319
277.30396	321
277.3136	318
277.32324	320
277.33289	314
277.34256	309
277.3522	320
277.36185	322
277.37149	315
277.38113	313
277.39081	319
277.40045	321
277.4101	319
277.41974	321
277.42938	319
277.43903	315
277.4487	319
277.45834	314
277.46799	316
277.47763	326
277.48727	315
277.49692	324
277.50656	318
277.51624	318
277.52588	320
277.53552	321
277.54517	322
277.55481	318
277.56445	317
277.5741	323
277.58374	323
277.59338	321
277.60303	312
277.61267	320
277.62234	321
277.63199	322
277.64163	318
277.65128	323
277.66092	321
277.67056	319
277.68021	320
277.68985	318
277.69949	319
277.70914	323
277.71878	322
277.72842	322
277.73807	325
277.74771	322
277.75735	323
277.767	321
277.77664	319
277.78629	317
277.79593	321
277.80557	326
277.81522	320
277.82486	326
277.8345	325
277.84415	327
277.85379	322
277.8634	322
277.87305	324
277.88269	324
277.89233	320
277.90198	328
277.91162	323
277.92126	321
277.93091	318
277.94055	330
277.9502	332
277.95984	323
277.96945	321
277.9791	324
277.98874	333
277.99838	323
278.00803	333
278.01767	324
278.02731	326
278.03693	326
278.04657	328
278.05621	331
278.06586	329
278.0755	320
278.08514	331
278.09476	332
278.1044	325
278.11404	335
278.12369	328
278.13333	333
278.14294	334
278.15259	332
278.16223	323
278.17188	327
278.18149	328
278.19113	330
278.20078	325
278.21042	331
278.22003	336
278.22968	326
278.23932	332
278.24896	329
278.25858	330
278.26822	332
278.27786	334
278.28748	332
278.29712	333
278.30676	333
278.31638	335
278.32602	340
278.33566	335
278.34531	334
278.35492	330
278.36456	341
278.37418	338
278.38382	343
278.39346	337
278.40308	347
278.41272	348
278.42236	344
278.43198	339
278.44162	346
278.45126	341
278.46088	339
278.47052	348
278.48013	343
278.48978	347
278.49942	343
278.50903	348
278.51868	349
278.52829	353
278.53793	351
278.54755	348
278.55719	351
278.56683	352
278.57645	351
278.58609	356
278.5957	358
278.60535	361
278.61496	361
278.6246	357
278.63422	360
278.64386	356
278.65347	366
278.66312	357
278.67273	360
278.68237	363
278.69199	365
278.70163	360
278.71124	362
278.72089	362
278.7305	368
278.74014	368
278.74976	372
278.75937	370
278.76901	380
278.77863	379
278.78827	377
278.79788	379
278.80753	382
278.81714	381
278.82675	382
278.8364	383
278.84601	385
278.85565	388
278.86526	393
278.87488	393
278.88452	394
278.89413	403
278.90375	401
278.91339	411
278.923	402
278.93265	409
278.94226	403
278.95187	408
278.96152	419
278.97113	426
278.98074	429
278.99039	429
279	430
279.00961	432
279.01923	441
279.02887	450
279.03848	451
279.0481	461
279.05774	467
279.06735	466
279.07697	466
279.08658	474
279.09622	478
279.10583	495
279.11545	497
279.12506	509
279.1347	522
279.14432	517
279.15393	529
279.16354	536
279.17319	552
279.1828	558
279.19241	576
279.20203	578
279.21164	589
279.22128	600
279.2309	618
279.24051	640
279.25012	654
279.25974	668
279.26935	684
279.27899	684
279.2886	705
279.29822	733
279.30783	754
279.31744	775
279.32706	799
279.33667	830
279.34631	829
279.35593	861
279.36554	877
279.37515	930
279.38477	944
279.39438	1001
279.40399	1038
279.4136	1063
279.42322	1092
279.43283	1112
279.44247	1166
279.45209	1237
279.4617	1279
279.47131	1364
279.48093	1394
279.49054	1412
279.50015	1476
279.50977	1530
279.51938	1604
279.52899	1689
279.5386	1790
279.54822	1901
279.55783	1962
279.56744	1991
279.57706	2068
279.58667	2175
279.59628	2317
279.6059	2464
279.61551	2666
279.62512	2803
279.63474	2932
279.64435	3013
279.65396	3202
279.66357	3470
279.67319	3798
279.68277	4138
279.69238	4400
279.702	4639
279.71161	4855
279.72122	5148
279.73083	5563
279.74045	6111
279.75006	6824
279.75967	7447
279.76929	7895
279.7789	8469
279.78848	9013
279.7981	9864
279.80771	10924
279.81732	12313
279.82693	13707
279.83655	14845
279.84616	15715
279.85574	16654
279.86536	18104
279.87497	19910
279.88458	22069
279.8942	24289
279.90381	26285
279.91339	27500
279.923	28599
279.93262	30051
279.94223	31738
279.95181	33289
279.96143	34589
279.97104	35604
279.98065	36365
279.99026	36888
279.99985	37445
280.00946	37943
280.01907	38472
