# wl 	 tx
198.3191075 0.0016151
198.3406097 0.0016140
198.3621020 0.0016287
198.3836043 0.0016306
198.4050966 0.0016413
198.4265989 0.0016354
198.4480812 0.0016215
198.4695735 0.0016091
198.4910758 0.0016066
198.5125681 0.0015981
198.5340704 0.0015833
198.5555527 0.0015884
198.5770450 0.0016156
198.5985473 0.0016309
198.6200396 0.0016427
198.6415219 0.0016629
198.6630242 0.0016883
198.6845165 0.0016989
198.7059988 0.0017109
198.7275011 0.0017284
198.7489934 0.0017439
198.7704757 0.0017690
198.7919780 0.0018613
198.8134703 0.0018093
198.8349526 0.0017987
198.8564449 0.0018040
198.8779472 0.0018141
198.8994295 0.0018283
198.9209218 0.0018406
198.9424042 0.0018466
198.9639065 0.0018663
198.9853888 0.0018668
199.0068811 0.0018801
199.0283634 0.0018873
199.0498657 0.0018933
199.0713480 0.0018997
199.0928404 0.0019086
199.1143227 0.0019117
199.1358250 0.0019219
199.1573073 0.0019414
199.1787996 0.0019540
199.2002820 0.0019656
199.2217843 0.0019671
199.2432666 0.0019833
199.2647489 0.0020031
199.2862412 0.0020139
199.3077236 0.0020223
199.3292159 0.0020531
199.3506982 0.0020354
199.3721805 0.0020246
199.3936829 0.0020618
199.4151652 0.0020906
199.4366475 0.0020996
199.4581298 0.0021165
199.4796222 0.0021216
199.5011045 0.0021328
199.5225868 0.0021445
199.5440892 0.0021607
199.5655715 0.0021626
199.5870538 0.0021741
199.6085362 0.0021983
199.6300185 0.0022107
199.6515108 0.0022297
199.6729932 0.0022394
199.6944755 0.0022554
199.7159578 0.0022662
199.7374402 0.0022803
199.7589225 0.0022947
199.7804149 0.0022929
199.8018972 0.0022956
199.8233795 0.0023153
199.8448619 0.0023275
199.8663442 0.0023458
199.8878266 0.0023594
199.9093089 0.0023826
199.9307913 0.0024143
199.9522736 0.0024255
199.9737560 0.0024422
199.9952383 0.0024638
200.0167207 0.0024821
200.0382030 0.0024978
200.0596854 0.0025084
200.0811677 0.0025280
200.1026501 0.0025535
200.1241324 0.0025775
200.1456148 0.0025973
200.1670971 0.0026025
200.1885795 0.0026127
200.2100618 0.0026296
200.2315442 0.0026483
200.2530265 0.0026682
200.2744889 0.0026872
200.2959712 0.0026916
200.3174536 0.0026947
200.3389360 0.0027341
200.3604183 0.0028375
200.3819007 0.0027882
200.4033630 0.0027768
200.4248454 0.0027891
200.4463278 0.0028018
200.4678101 0.0028047
200.4892825 0.0028104
200.5107549 0.0028348
200.5322372 0.0028621
200.5537196 0.0028700
200.5751920 0.0028974
200.5966743 0.0029126
200.6181567 0.0029305
200.6396191 0.0029586
200.6611014 0.0029627
200.6825838 0.0029714
200.7040562 0.0029904
200.7255385 0.0030179
200.7470209 0.0030359
200.7684833 0.0030514
200.7899657 0.0030662
200.8114281 0.0030943
200.8329104 0.0030889
200.8543928 0.0031233
200.8758652 0.0031207
200.8973476 0.0031709
200.9188099 0.0031745
200.9402923 0.0031933
200.9617647 0.0032172
200.9832371 0.0032211
201.0047095 0.0032355
201.0261918 0.0032574
201.0476542 0.0032759
201.0691366 0.0033059
201.0906090 0.0033180
201.1120714 0.0033331
201.1335538 0.0033523
201.1550262 0.0033729
201.1765085 0.0033720
201.1979709 0.0033964
201.2194333 0.0034008
201.2409157 0.0034312
201.2623881 0.0034540
201.2838505 0.0034721
201.3053329 0.0034945
201.3268053 0.0035067
201.3482677 0.0035096
201.3697501 0.0035348
201.3912125 0.0035561
201.4126849 0.0035598
201.4341473 0.0035887
201.4556297 0.0035991
201.4771020 0.0036271
201.4985645 0.0036333
201.5200369 0.0036666
201.5414993 0.0036915
201.5629817 0.0037490
201.5844441 0.0037700
201.6059165 0.0037888
201.6273789 0.0038126
201.6488513 0.0038529
201.6703137 0.0038841
201.6917961 0.0039075
201.7132685 0.0039393
201.7347309 0.0039620
201.7561933 0.0040061
201.7776657 0.0040303
201.7991281 0.0040590
201.8206005 0.0040853
201.8420629 0.0041163
201.8635353 0.0041552
201.8849978 0.0041744
201.9064702 0.0041713
201.9279326 0.0041856
201.9493950 0.0042197
201.9708674 0.0042496
201.9923298 0.0042804
202.0138023 0.0042968
202.0352647 0.0043189
202.0567371 0.0043453
202.0781995 0.0043934
202.0996519 0.0044162
