# wl center_tx left_tx right_tx top_tx bottom_tx
321.9406671 0.3826718 0.3727105 0.4352203 0.4721996 0.3711500
321.9615932 0.3863566 0.3738548 0.4421013 0.4787966 0.3701722
321.9825094 0.3895861 0.3759393 0.4482320 0.4878891 0.3722554
322.0034055 0.3935571 0.3763704 0.4556803 0.4954860 0.3716127
322.0243216 0.3985002 0.3796842 0.4638536 0.5037460 0.3740797
322.0452178 0.3995532 0.3813877 0.4706162 0.5109041 0.3734090
322.0661339 0.4027086 0.3828891 0.4774937 0.5184543 0.3746551
322.0870300 0.4068610 0.3856736 0.4854579 0.5259797 0.3740990
322.1079462 0.4131339 0.3903449 0.4930113 0.5345570 0.3763660
322.1288423 0.4203334 0.3942984 0.5005201 0.5409749 0.3778114
322.1497584 0.4267037 0.3998456 0.5073936 0.5477639 0.3811224
322.1706546 0.4305076 0.4005509 0.5129589 0.5517561 0.3818234
322.1915707 0.4384766 0.4076133 0.5222391 0.5591663 0.3874850
322.2124569 0.4428874 0.4106210 0.5304096 0.5642705 0.3894724
322.2333830 0.4518804 0.4169511 0.5389395 0.5725802 0.3952913
322.2542692 0.4538600 0.4188971 0.5417887 0.5714578 0.3955505
322.2751953 0.4631308 0.4269600 0.5508893 0.5795985 0.3999034
322.2960814 0.4695206 0.4322008 0.5548874 0.5798721 0.4030425
322.3170076 0.4752992 0.4376881 0.5593345 0.5825215 0.4062955
322.3378937 0.4848513 0.4454636 0.5655310 0.5853036 0.4118888
322.3588198 0.4925140 0.4510694 0.5686595 0.5837609 0.4169137
322.3797060 0.4998427 0.4582984 0.5744077 0.5859574 0.4234548
322.4006321 0.5056223 0.4626122 0.5764488 0.5839424 0.4285844
322.4215183 0.5130098 0.4706011 0.5803197 0.5827843 0.4349113
322.4424444 0.5190782 0.4771204 0.5813055 0.5812212 0.4398824
322.4633306 0.5251537 0.4841379 0.5831397 0.5783669 0.4456899
322.4842267 0.5332290 0.4933614 0.5836087 0.5749558 0.4516626
322.5051429 0.5387207 0.4989033 0.5809801 0.5695839 0.4572492
322.5260390 0.5439043 0.5072219 0.5809415 0.5659193 0.4629136
322.5469552 0.5506185 0.5135276 0.5794640 0.5622765 0.4715200
322.5678513 0.5547718 0.5186979 0.5763967 0.5553913 0.4772021
322.5887375 0.5583129 0.5252802 0.5738340 0.5486662 0.4857189
