Date and Time:                Mon Apr 25 12:46:45.000 2022
Software Version:             4.31.30023.0
Temperature (C):              -40
Model:                        DU940P_BU2
Data Type:                    Counts
Acquisition Mode:             Single Scan
Trigger Mode:                 Internal
Exposure Time (secs):         0.12
Readout Mode:                 Full Vertical Binning
Horizontal binning:           1
Extended Dynamic Range:       off
Horizontally flipped:         false
Vertical Shift Speed (usecs): 14.51
Pixel Readout Rate (MHz):     3
Baseline Clamp:               ON
Clock Amplitude:              Normal
Output Amplifier:             High Capacity
Serial Number:                23634
Pre-Amplifier Gain:           1.000000
Spurious Noise Filter Mode:   No Filter
Photon counted:               false
Data Averaging Filter Mode:   No Filter
SR500i:
Serial Number:                
Wavelength (nm):              397
Grating Groove Density (l/mm):2400
Grating Blaze:                BH
Output Flipper Port:          Direct
393.92444	39708
393.93304	39761
393.94168	39610
393.95029	39585
393.95892	39934
393.96756	39820
393.97617	39682
393.9848	39705
393.99344	39705
394.00204	39716
394.01068	39654
394.01929	39608
394.02792	39911
394.03656	39695
394.04517	39584
394.0538	39550
394.06241	39542
394.07104	39537
394.07965	39654
394.08829	39769
394.09689	39935
394.10553	39889
394.11417	39794
394.12277	39877
394.13141	39875
394.14001	39627
394.14865	39603
394.15726	39413
394.16589	39712
394.1745	39361
394.18314	39251
394.19174	39275
394.20035	39698
394.20898	39331
394.21759	39291
394.22623	39534
394.23483	39431
394.24347	39544
394.25208	39271
394.26071	39590
394.26932	39777
394.27792	39981
394.28656	39801
394.29517	39818
394.3038	40048
394.31241	39642
394.32101	39732
394.32965	39823
394.33826	39780
394.34686	39647
394.3555	39819
394.36411	39861
394.37271	39662
394.38135	39638
394.38995	39755
394.39856	39794
394.4072	39977
394.4158	39781
394.42441	39999
394.43304	39953
394.44165	39692
394.45026	39742
394.45886	40043
394.4675	40133
394.4761	40263
394.48471	40376
394.49332	40491
394.50195	40507
394.51056	40434
394.51917	40434
394.52777	40493
394.53641	40391
394.54501	40399
394.55362	40436
394.56223	40274
394.57083	40265
394.57944	40145
394.58807	40059
394.59668	40124
394.60529	39720
394.61389	39871
394.6225	40007
394.6311	40130
394.63974	40187
394.64835	40114
394.65695	39997
394.66556	40137
394.67416	40170
394.68277	40268
394.69138	40433
394.69998	40403
394.70859	40389
394.71719	40417
394.72583	40131
394.73444	40524
394.74304	40278
394.75165	40109
394.76025	40302
394.76886	40175
394.77747	40054
394.78607	40020
394.79468	40259
394.80328	40519
394.81189	40169
394.8205	40277
394.8291	40258
394.83771	40432
394.84631	40218
394.85492	40157
394.86353	40523
394.87213	40182
394.88074	40346
394.88934	40509
394.89795	40421
394.90656	40454
394.91516	40105
394.92374	40264
394.93234	40195
394.94095	40339
394.94955	40290
394.95816	40264
394.96677	40277
394.97537	40232
394.98398	40142
394.99258	40389
395.00116	40419
395.00977	40483
395.01837	40410
395.02698	40613
395.03558	40380
395.04419	40246
395.0528	40535
395.06137	40432
395.06998	40650
395.07858	40676
395.08719	40555
395.09579	40877
395.10437	40725
395.11298	40501
395.12158	40746
395.13019	40813
395.13876	40716
395.14737	40759
395.15598	40600
395.16458	40930
395.17316	40639
395.18176	40630
395.19037	40615
395.19897	40408
395.20755	40302
395.21616	40536
395.22476	40677
395.23334	40810
395.24194	40843
395.25055	40713
395.25912	41058
395.26773	41105
395.27634	41024
395.28491	40873
395.29352	40964
395.30212	40947
