Date and Time:                Wed Oct 26 15:20:44.000 2022
Software Version:             4.31.30023.0
Temperature (C):              -40
Model:                        DU940P_BU2
Data Type:                    Counts
Acquisition Mode:             Single Scan
Trigger Mode:                 Internal
Exposure Time (secs):         75
Readout Mode:                 Full Vertical Binning
Horizontal binning:           1
Extended Dynamic Range:       off
Horizontally flipped:         false
Vertical Shift Speed (usecs): 14.51
Pixel Readout Rate (MHz):     3
Baseline Clamp:               ON
Clock Amplitude:              Normal
Output Amplifier:             High Capacity
Serial Number:                23634
Pre-Amplifier Gain:           1.000000
Spurious Noise Filter Mode:   No Filter
Photon counted:               false
Data Averaging Filter Mode:   No Filter
SR500i:
Serial Number:                
Wavelength (nm):              214
Grating Groove Density (l/mm):1199.47
Grating Blaze:                500
Output Flipper Port:          Direct
202.53622	350
202.55771	365
202.57918	357
202.60066	366
202.62213	362
202.64362	358
202.66508	379
202.68657	372
202.70804	353
202.72952	395
202.75099	366
202.77248	388
202.79395	358
202.81543	359
202.8369	357
202.85837	364
202.87985	359
202.90132	355
202.92279	354
202.94427	383
202.96574	359
202.98721	357
203.0087	361
203.03017	354
203.05164	365
203.0731	398
203.09459	406
203.11606	366
203.13753	365
203.159	358
203.18048	364
203.20195	370
203.22342	354
203.24489	354
203.26636	352
203.28783	367
203.30931	358
203.33078	359
203.35225	354
203.37372	353
203.39519	359
203.41666	359
203.43813	372
203.45959	348
203.48106	365
203.50253	364
203.524	356
203.54547	354
203.56694	352
203.58841	349
203.60988	390
203.63135	354
203.65282	356
203.67429	360
203.69576	358
203.71722	357
203.73869	363
203.76016	368
203.78163	360
203.80309	354
203.82455	360
203.84602	349
203.86749	358
203.88896	363
203.91043	362
203.93188	348
203.95335	371
203.97482	348
203.99629	358
204.01775	348
204.03922	388
204.06068	357
204.08215	355
204.10361	362
204.12508	346
204.14655	359
204.168	347
204.18947	383
204.21094	353
204.23239	356
204.25386	364
204.27531	356
204.29678	362
204.31825	364
204.33971	358
204.36118	355
204.38263	362
204.4041	360
204.42555	370
204.44702	355
204.46848	360
204.48994	354
204.5114	365
204.53287	354
204.55432	363
204.57579	364
204.59724	353
204.6187	359
204.64017	355
204.66162	359
204.68309	356
204.70454	367
204.726	358
204.74747	353
204.76892	355
204.79037	352
204.81184	350
204.8333	355
204.85475	363
204.87621	359
204.89767	363
204.91913	351
204.94058	366
204.96204	360
204.98351	361
205.00496	363
205.02641	364
205.04787	360
205.06932	361
205.09077	358
205.11224	359
205.1337	355
205.15515	356
205.17661	376
205.19806	364
205.21951	358
205.24097	380
205.26242	358
205.28387	378
205.30533	358
205.32678	360
205.34824	364
205.36969	354
205.39114	357
205.4126	356
205.43405	354
205.45551	364
205.47696	357
205.49841	350
205.51987	362
205.54132	357
205.56277	368
205.58421	352
205.60567	358
205.62712	361
205.64857	362
205.67003	354
205.69148	366
205.71292	354
205.73438	358
205.75583	356
205.77728	355
205.79872	360
205.82018	380
205.84163	377
205.86308	391
205.88452	359
205.90598	353
205.92743	365
205.94887	365
205.97032	354
205.99178	353
206.01321	357
206.03467	359
206.05611	369
206.07756	362
206.09901	348
206.12045	369
206.14191	358
206.16335	363
206.1848	359
206.20624	351
206.22769	363
206.24913	354
206.27058	361
206.29202	355
206.31348	364
206.33492	354
206.35637	363
206.37781	363
206.39925	358
206.4207	369
206.44214	360
206.46359	367
206.48503	362
206.50647	360
206.52792	371
206.54936	359
206.5708	361
206.59224	366
206.61369	366
206.63513	354
206.65657	359
206.67802	375
206.69946	364
206.7209	348
206.74234	360
206.76378	352
206.78523	363
206.80667	355
206.82811	360
206.84955	357
206.87099	348
206.89243	354
206.91386	359
206.93532	380
206.95676	370
206.9782	365
206.99963	353
207.02107	351
207.04251	361
207.06395	360
207.08539	364
207.10683	359
207.12827	353
207.1497	362
207.17114	365
207.19258	353
207.21402	370
207.23546	358
207.2569	376
207.27832	368
207.29976	351
207.3212	373
207.34264	367
207.36407	355
207.38551	384
207.40695	364
207.42838	360
207.44981	368
207.47125	353
207.49269	360
207.51413	369
207.53555	356
207.55699	369
207.57843	361
207.59985	364
207.62129	357
207.64273	365
207.66417	361
207.68559	363
207.70703	362
207.72845	369
207.74989	352
207.77133	344
207.79276	372
207.81419	356
207.83562	355
207.85706	366
207.87849	363
207.89992	362
207.92136	359
207.94278	349
207.96422	354
207.98564	374
208.00708	351
208.0285	378
208.04994	352
208.07137	373
208.09279	366
208.11423	365
208.13565	357
208.15709	365
208.17851	360
208.19994	359
208.22137	360
208.2428	359
208.26422	363
208.28566	356
208.30708	360
208.32851	388
208.34995	360
208.37137	363
208.39279	369
208.41422	433
208.43565	350
208.45708	385
208.4785	379
208.49992	376
208.52135	391
208.54279	362
208.56421	358
208.58563	355
208.60706	355
208.62848	361
208.6499	365
208.67133	371
208.69275	365
208.71417	388
208.7356	382
208.75703	381
208.77846	356
208.79988	356
208.8213	366
208.84273	389
208.86415	370
208.88556	481
208.90698	365
208.92841	363
208.94983	359
208.97125	359
208.99268	362
209.0141	372
209.03552	362
209.05695	359
209.07837	361
209.09978	362
209.1212	362
209.14262	354
209.16405	365
209.18547	359
209.20688	358
209.2283	364
209.24973	358
209.27115	362
209.29256	361
209.31398	358
209.3354	360
209.35683	357
209.37823	365
209.39966	374
209.42108	367
209.44249	369
209.46391	374
209.48532	357
209.50674	364
209.52817	360
209.54958	363
209.571	357
209.59241	382
209.61383	360
209.63524	357
209.65666	360
209.67807	359
209.69949	366
209.7209	359
209.74232	359
209.76373	360
209.78516	359
209.80656	384
209.82797	359
209.8494	366
209.8708	358
209.89223	360
209.91364	362
209.93504	389
209.95647	365
209.97787	382
209.99928	362
210.02071	381
210.04211	362
210.06352	372
210.08493	358
210.10635	360
210.12776	360
210.14917	364
210.17058	355
210.19199	370
210.21341	361
210.23482	406
210.25623	366
210.27763	372
210.29904	366
210.32045	371
210.34186	360
210.36327	363
210.38469	365
210.4061	379
210.42751	365
210.44891	373
210.47032	362
210.49173	366
210.51314	366
210.53455	367
210.55595	353
210.57736	385
210.59877	369
210.62018	363
210.64157	367
210.66298	380
210.68439	374
210.7058	366
210.7272	362
210.74861	373
210.77002	378
210.79143	361
210.81282	366
210.83423	367
210.85564	359
210.87704	365
210.89844	353
210.91985	366
210.94125	370
210.96266	365
210.98405	365
211.00546	355
211.02687	365
211.04826	359
211.06967	359
211.09108	360
211.11247	352
211.13388	364
211.15529	383
211.17668	365
211.19809	371
211.21948	369
211.24089	357
211.2623	362
211.28369	366
211.3051	366
211.32649	378
211.3479	355
211.36929	356
211.3907	386
211.41209	382
211.43349	371
211.4549	363
211.47629	364
211.4977	367
211.51909	368
211.54048	359
211.56189	368
211.58328	356
211.60469	380
211.62608	365
211.64748	372
211.66887	372
211.69028	372
211.71167	365
211.73306	370
211.75447	381
211.77586	384
211.79726	363
211.81865	358
211.84004	361
211.86145	359
211.88284	370
211.90424	364
211.92563	366
211.94702	363
211.96841	399
211.98981	361
212.01122	361
212.03261	365
212.054	360
212.07539	362
212.09679	358
212.11818	371
212.13957	378
212.16096	357
212.18236	364
212.20375	369
212.22514	362
212.24654	362
212.26793	364
212.28932	366
212.3107	364
212.33209	361
212.35349	367
212.37488	362
212.39627	368
212.41766	371
212.43906	365
212.46043	365
212.48183	362
212.50322	389
212.52461	370
212.54601	366
212.56738	371
212.58878	382
212.61017	379
212.63156	385
212.65294	374
212.67433	365
212.69572	359
212.7171	365
212.73849	368
212.75989	373
212.78127	368
212.80266	359
212.82404	370
212.84543	372
212.86681	362
212.8882	362
212.90959	364
212.93097	362
212.95236	364
212.97374	366
212.99513	355
213.01651	368
213.0379	366
213.05928	364
213.08066	355
213.10205	363
213.12343	355
213.14482	371
213.1662	369
213.18758	364
213.20897	367
213.23035	358
213.25172	360
213.27312	367
213.29449	358
213.31587	356
213.33727	364
213.35864	366
213.38002	364
213.4014	361
213.42279	367
213.44417	367
213.46555	370
213.48692	373
213.5083	360
213.52969	352
213.55107	366
213.57245	364
213.59383	368
213.6152	365
213.63658	366
213.65796	363
213.67934	353
