Date and Time:                Wed Oct 26 16:09:05.000 2022
Software Version:             4.31.30023.0
Temperature (C):              -40
Model:                        DU940P_BU2
Data Type:                    Counts
Acquisition Mode:             Single Scan
Trigger Mode:                 Internal
Exposure Time (secs):         85
Readout Mode:                 Full Vertical Binning
Horizontal binning:           1
Extended Dynamic Range:       off
Horizontally flipped:         false
Vertical Shift Speed (usecs): 14.51
Pixel Readout Rate (MHz):     3
Baseline Clamp:               ON
Clock Amplitude:              Normal
Output Amplifier:             High Capacity
Serial Number:                23634
Pre-Amplifier Gain:           1.000000
Spurious Noise Filter Mode:   No Filter
Photon counted:               false
Data Averaging Filter Mode:   No Filter
SR500i:
Serial Number:                
Wavelength (nm):              214
Grating Groove Density (l/mm):1199.47
Grating Blaze:                500
Output Flipper Port:          Direct
213.29449	32324
213.31587	32334
213.33727	32197
213.35864	32088
213.38002	32100
213.4014	32061
213.42279	32035
213.44417	32024
213.46555	31954
213.48692	31717
213.5083	31501
213.52969	31411
213.55107	31345
213.57245	31218
213.59383	31256
213.6152	31355
213.63658	31421
213.65796	31468
213.67934	31361
213.70071	31414
213.72209	31373
213.74347	31487
213.76485	31718
213.78622	31829
213.8076	31844
213.82898	31803
213.85036	31924
213.87173	32147
213.89311	31977
213.91449	31718
213.93587	31564
213.95724	31504
213.97862	31381
214	31260
214.02138	31440
214.04274	31656
214.06412	31763
214.08549	31688
214.10687	31693
214.12825	31523
214.14961	31434
214.17099	31652
214.19237	31719
214.21375	31858
214.23511	31773
214.25648	31793
214.27786	31689
214.29922	31748
214.3206	31661
214.34198	31423
214.36334	31371
214.38472	31194
214.4061	31234
214.42746	31107
214.44884	30993
214.4702	30882
214.49158	30813
214.51294	30707
214.53432	31008
214.55568	31013
214.57706	31084
214.59842	30960
214.6198	30904
214.64116	30829
214.66254	30845
214.6839	30852
214.70528	30912
214.72664	31001
214.74802	31039
214.76938	30909
214.79074	30854
214.81212	30687
214.83348	30728
214.85484	30596
214.87622	30542
214.89758	30421
214.91895	30325
