Date and Time:                Thu Sep 8 17:00:23.000 2022
Software Version:             4.31.30023.0
Temperature (C):              -40
Model:                        DU940P_BU2
Data Type:                    Counts
Acquisition Mode:             Single Scan
Trigger Mode:                 Internal
Exposure Time (secs):         0.25
Readout Mode:                 Full Vertical Binning
Horizontal binning:           1
Extended Dynamic Range:       off
Horizontally flipped:         false
Vertical Shift Speed (usecs): 14.51
Pixel Readout Rate (MHz):     3
Baseline Clamp:               ON
Clock Amplitude:              Normal
Output Amplifier:             High Capacity
Serial Number:                23634
Pre-Amplifier Gain:           1.000000
Spurious Noise Filter Mode:   No Filter
Photon counted:               false
Data Averaging Filter Mode:   No Filter
SR500i:
Serial Number:                
Wavelength (nm):              277
Grating Groove Density (l/mm):1199.47
Grating Blaze:                500
Output Flipper Port:          Direct
269.12686	12220
269.14801	12256
269.16916	12239
269.19031	12294
269.21143	12320
269.23257	12302
269.25372	12293
269.27487	12327
269.29602	12345
269.31717	12287
269.33832	12271
269.35947	12270
269.38062	12305
269.40176	12243
269.42291	12132
269.44403	12135
269.46518	12160
269.48633	12195
269.50748	12254
269.52863	12285
269.54977	12257
269.57089	12213
269.59204	12270
269.61319	12352
269.63434	12298
269.65549	12313
269.67661	12377
269.69775	12459
269.7189	12441
269.74005	12416
269.7612	12425
269.78232	12490
269.80347	12466
269.82462	12380
269.84576	12396
269.86688	12397
269.88803	12454
269.90918	12481
269.9303	12430
269.95145	12499
269.9726	12473
269.99371	12356
270.01486	12307
270.03601	12236
270.05716	12363
270.07828	12334
270.09943	12423
270.12054	12423
270.14169	12408
270.16284	12370
270.18396	12380
270.20511	12384
270.22626	12400
270.24738	12445
270.26852	12469
270.28964	12622
270.31079	12596
270.33194	12553
270.35306	12602
270.37421	12641
270.39532	12671
270.41647	12666
270.43759	12722
270.45874	12722
270.47986	12746
270.50101	12636
270.52213	12565
270.54327	12697
270.56439	12789
270.58554	12748
270.60666	12743
270.62781	12897
270.64893	12988
270.67007	12994
270.69119	12930
270.71234	12950
270.73346	12938
270.75461	13005
270.77573	13066
270.79684	13153
270.81799	13170
270.83911	13130
270.86026	13053
270.88138	13051
270.9025	13097
270.92365	13112
270.94476	13159
270.96591	13263
270.98703	13238
271.00815	13166
271.0293	13075
271.05042	13183
271.07153	13150
271.09268	13176
271.1138	13168
271.13492	13154
271.15607	13207
271.17719	13159
271.1983	13131
271.21942	13114
271.24057	13173
271.26169	13219
271.28281	13281
271.30396	13342
271.32507	13378
271.34619	13341
271.36731	13290
271.38843	13267
271.40958	13189
271.43069	13166
271.45181	13035
271.47293	13088
271.49408	13050
271.5152	13002
271.53632	13024
271.55743	13160
271.57855	13192
271.59967	13123
271.62082	13150
271.64194	13101
271.66306	13174
271.68417	13158
271.70529	13335
271.72641	13476
271.74753	13524
271.76865	13472
271.78979	13492
271.81091	13577
271.83203	13576
271.85315	13546
271.87427	13532
271.89539	13498
271.9165	13521
271.93762	13493
271.95874	13468
271.97986	13444
272.00098	13437
272.02209	13381
272.04321	13452
272.06433	13600
272.08545	13690
272.10657	13812
272.12769	13680
272.1488	13629
272.16992	13674
272.19104	13753
272.21216	13776
272.23328	13860
272.25439	13927
272.27551	14036
272.29663	13993
272.31775	13919
272.33884	13894
272.35995	13851
272.38107	13803
272.40219	13904
272.42331	13930
272.44443	13902
272.46555	13866
272.48666	13913
272.50778	13944
272.52887	13960
272.54999	13944
272.57111	13766
272.59222	13804
272.61334	13741
272.63446	13861
272.65555	13761
272.67667	13786
272.69778	13933
272.7189	14011
272.73999	14065
272.76111	14017
272.78223	14111
272.80334	14080
272.82446	14003
272.84555	14014
272.86667	14020
272.88779	14016
272.90887	14021
272.92999	13960
