# wl center_tx left_tx right_tx top_tx bottom_tx
372.5825730 0.1936283 0.2031243 0.1975184 0.1962019 0.2039288
372.6031907 0.1945717 0.2032153 0.1974516 0.1962233 0.2033893
372.6238484 0.1950283 0.2042960 0.1983736 0.1970446 0.2046673
372.6444661 0.1949962 0.2039510 0.1986877 0.1972080 0.2045421
372.6650737 0.1957526 0.2050248 0.1988932 0.1977770 0.2047642
372.6856914 0.1962392 0.2060672 0.1996958 0.1983669 0.2059241
372.7063091 0.1965180 0.2057978 0.2000744 0.1988205 0.2062080
372.7269268 0.1977413 0.2070309 0.2008765 0.1990819 0.2074076
372.7475744 0.1976695 0.2072310 0.2009926 0.1991762 0.2073349
372.7681921 0.1984220 0.2076270 0.2018291 0.2005069 0.2082213
372.7888098 0.1993675 0.2090078 0.2025197 0.2011204 0.2087101
372.8094275 0.1994111 0.2092888 0.2030564 0.2014227 0.2091609
372.8300452 0.1992531 0.2090190 0.2032302 0.2012949 0.2090112
372.8506629 0.2008967 0.2108148 0.2038187 0.2024238 0.2100863
372.8712806 0.2007500 0.2106468 0.2040210 0.2024079 0.2102981
372.8918982 0.2019029 0.2117767 0.2052651 0.2039425 0.2111300
372.9125159 0.2019875 0.2118781 0.2052531 0.2039230 0.2110617
372.9331636 0.2019325 0.2123560 0.2061836 0.2044499 0.2116191
372.9537813 0.2036239 0.2137484 0.2072552 0.2059182 0.2129632
372.9743990 0.2041536 0.2141586 0.2071422 0.2055604 0.2128630
372.9950167 0.2042543 0.2147966 0.2080492 0.2065560 0.2135210
373.0156344 0.2046736 0.2144808 0.2082704 0.2067174 0.2132838
373.0362520 0.2051031 0.2151365 0.2084227 0.2070158 0.2132593
373.0568697 0.2051301 0.2153722 0.2089506 0.2079048 0.2139341
373.0774874 0.2066348 0.2168973 0.2101598 0.2091301 0.2148945
373.0981051 0.2069269 0.2170858 0.2099440 0.2090750 0.2149811
373.1187228 0.2069115 0.2169523 0.2107819 0.2091643 0.2150465
373.1393405 0.2081628 0.2176845 0.2113693 0.2104085 0.2157864
373.1599582 0.2083063 0.2178903 0.2113121 0.2102628 0.2149370
373.1805759 0.2087272 0.2187321 0.2124803 0.2116270 0.2163532
373.2011936 0.2095072 0.2190125 0.2129568 0.2122575 0.2165485
373.2218113 0.2092715 0.2187094 0.2122711 0.2115270 0.2156399
373.2424290 0.2098339 0.2198357 0.2132588 0.2127341 0.2166450
373.2630467 0.2118501 0.2211702 0.2145279 0.2145028 0.2174418
373.2836644 0.2106030 0.2200928 0.2137741 0.2135945 0.2162875
373.3042821 0.2114316 0.2213356 0.2153963 0.2150562 0.2176352
373.3248998 0.2110454 0.2208289 0.2148658 0.2152252 0.2170378
373.3454875 0.2123847 0.2222194 0.2157099 0.2159642 0.2179710
373.3661052 0.2122849 0.2217130 0.2160688 0.2159111 0.2173360
373.3867229 0.2132188 0.2225533 0.2167441 0.2165212 0.2179388
373.4073406 0.2133078 0.2225786 0.2166375 0.2167839 0.2176348
373.4279583 0.2136471 0.2228498 0.2178003 0.2179487 0.2185071
373.4485760 0.2134245 0.2221444 0.2168363 0.2174626 0.2171611
373.4691937 0.2147897 0.2237119 0.2183687 0.2186829 0.2185639
373.4898114 0.2142780 0.2232322 0.2181722 0.2187872 0.2179523
373.5104291 0.2155627 0.2241915 0.2187040 0.2193929 0.2182828
373.5310168 0.2154068 0.2239810 0.2187601 0.2195554 0.2181152
373.5516345 0.2156438 0.2242580 0.2193983 0.2205556 0.2182089
373.5722522 0.2154543 0.2236922 0.2189022 0.2199862 0.2174963
373.5928699 0.2153205 0.2241532 0.2193410 0.2202670 0.2175873
373.6134876 0.2153467 0.2238210 0.2193532 0.2204297 0.2173819
373.6341053 0.2155685 0.2233396 0.2183987 0.2196985 0.2162264
373.6546931 0.2167983 0.2247801 0.2200893 0.2214752 0.2177727
373.6753108 0.2159417 0.2237339 0.2199985 0.2215677 0.2174534
373.6959285 0.2160903 0.2237374 0.2195526 0.2217925 0.2167728
373.7165462 0.2163263 0.2246415 0.2202090 0.2223943 0.2170181
373.7371639 0.2160340 0.2239524 0.2199802 0.2223282 0.2162626
373.7577516 0.2163294 0.2240505 0.2199238 0.2217650 0.2162213
373.7783693 0.2166913 0.2246171 0.2204807 0.2222477 0.2166334
373.7989871 0.2160678 0.2234131 0.2197892 0.2222879 0.2156245
373.8196048 0.2165522 0.2237472 0.2198062 0.2225500 0.2154404
373.8401925 0.2165657 0.2244600 0.2206500 0.2232307 0.2161252
373.8608102 0.2157437 0.2229104 0.2196017 0.2220917 0.2149510
373.8814279 0.2165061 0.2238485 0.2200836 0.2226161 0.2147851
373.9020456 0.2152750 0.2221242 0.2190415 0.2212014 0.2141111
373.9226334 0.2162198 0.2226809 0.2192072 0.2223863 0.2141756
373.9432511 0.2170218 0.2235272 0.2202114 0.2229236 0.2147376
373.9638688 0.2143686 0.2213714 0.2184123 0.2210904 0.2125571
373.9844465 0.2163656 0.2231701 0.2205622 0.2234559 0.2141185
374.0050642 0.2144810 0.2214383 0.2180631 0.2212137 0.2123668
374.0256820 0.2157717 0.2226759 0.2194108 0.2230321 0.2135989
374.0462697 0.2149400 0.2212645 0.2181427 0.2213277 0.2120984
374.0668874 0.2149191 0.2212493 0.2181929 0.2216997 0.2120998
374.0875051 0.2148012 0.2212619 0.2186942 0.2220875 0.2122928
374.1080929 0.2139827 0.2200537 0.2170866 0.2208961 0.2108174
374.1287106 0.2133043 0.2201604 0.2174144 0.2206316 0.2107642
374.1493283 0.2134311 0.2199970 0.2175847 0.2208096 0.2110464
374.1699161 0.2140407 0.2204236 0.2177033 0.2212062 0.2107073
374.1905338 0.2130984 0.2193772 0.2158766 0.2194572 0.2097032
374.2111215 0.2128363 0.2189711 0.2162718 0.2201490 0.2098072
374.2317392 0.2130060 0.2188559 0.2163535 0.2200837 0.2097736
374.2523570 0.2120913 0.2185916 0.2157491 0.2197919 0.2090465
374.2729447 0.2115548 0.2177969 0.2155362 0.2190952 0.2088050
374.2935624 0.2113440 0.2175471 0.2145595 0.2183230 0.2079025
374.3141502 0.2108905 0.2168960 0.2139089 0.2175248 0.2076017
374.3347679 0.2115169 0.2174852 0.2149551 0.2187687 0.2080339
374.3553556 0.2108509 0.2170176 0.2142500 0.2185279 0.2076126
374.3759734 0.2099405 0.2164618 0.2132736 0.2174013 0.2071985
374.3965911 0.2106424 0.2173227 0.2142017 0.2187757 0.2076042
374.4171788 0.2098268 0.2161945 0.2130878 0.2169934 0.2069316
