# wl center_tx left_tx right_tx top_tx bottom_tx
263.3709409 -0.0000489 -0.0000183 -0.0000306 -0.0000428 -0.0001162
263.3921652 0.0000307 0.0000123 -0.0000061 -0.0000061 0.0000000
263.4133895 0.0000368 -0.0000613 -0.0000245 -0.0000184 -0.0000368
263.4345839 0.0000366 -0.0000611 0.0000000 -0.0000244 0.0000000
263.4558082 0.0000792 0.0000853 0.0000549 0.0000914 0.0000183
263.4770025 -0.0000184 -0.0000490 0.0000000 -0.0000306 -0.0000122
263.4982268 0.0001168 0.0000553 0.0000738 0.0000615 0.0000922
263.5194511 -0.0000061 -0.0000245 -0.0000551 -0.0000184 -0.0000980
263.5406454 0.0000429 0.0000490 0.0000245 0.0000122 0.0000061
263.5618698 0.0000922 -0.0000061 0.0000246 0.0000246 0.0000184
263.5830641 0.0000062 -0.0000492 0.0000308 -0.0000308 0.0000246
263.6042884 0.0000425 0.0000607 0.0000121 0.0000304 0.0000182
263.6254827 0.0000121 -0.0000424 0.0000363 -0.0000303 -0.0000484
263.6467071 -0.0000121 -0.0000484 0.0000121 -0.0001090 0.0000182
263.6679314 0.0000548 0.0000852 0.0000244 0.0000609 0.0000426
263.6891257 0.0000244 0.0000548 0.0000304 0.0000304 -0.0000244
263.7103500 0.0000546 -0.0000303 -0.0000303 -0.0000607 -0.0000061
263.7315444 0.0000720 -0.0000060 0.0000060 0.0000360 0.0000120
263.7527687 0.0000299 0.0000358 0.0000717 0.0000000 0.0000777
263.7739630 -0.0000416 -0.0000178 -0.0000475 -0.0000535 -0.0000951
263.7951873 0.0000767 0.0000354 0.0000295 0.0000118 -0.0000177
263.8163817 0.0000707 0.0000118 0.0000354 0.0000648 0.0000766
263.8376060 -0.0000296 -0.0000059 -0.0000178 -0.0000473 -0.0000592
263.8588003 0.0000533 0.0000237 -0.0000178 0.0000533 -0.0000414
263.8800247 -0.0000594 -0.0001128 -0.0000772 -0.0000831 -0.0000772
263.9012190 -0.0000119 -0.0000654 0.0000297 0.0000178 -0.0000357
263.9224133 -0.0000059 0.0000651 0.0000177 -0.0000532 -0.0000118
263.9436377 0.0000647 0.0000471 0.0000294 0.0000235 0.0000823
263.9648320 0.0001117 0.0000588 0.0000411 0.0001175 0.0001528
263.9860563 -0.0000236 0.0000000 -0.0000118 -0.0000295 0.0000354
264.0072507 -0.0000354 -0.0000354 -0.0000295 0.0000295 -0.0000886
264.0284750 0.0000710 0.0000828 0.0000887 0.0001360 0.0001419
264.0496693 0.0000354 0.0000236 0.0000059 0.0000118 0.0000177
264.0708937 -0.0000178 -0.0000711 -0.0000711 -0.0000711 -0.0000178
264.0920880 0.0000178 -0.0000651 -0.0000296 -0.0000178 -0.0000118
264.1132824 0.0000414 0.0000236 0.0000414 0.0000177 0.0000177
264.1345067 0.0000000 0.0000237 0.0000119 0.0000237 0.0000593
264.1557010 0.0000357 -0.0000119 0.0000297 0.0000357 -0.0000297
264.1769254 0.0000595 -0.0000654 -0.0000535 0.0000416 -0.0000357
264.1981097 -0.0000417 -0.0000656 -0.0000298 -0.0000358 -0.0001133
264.2193041 0.0000238 0.0000060 0.0000655 0.0000714 -0.0000060
264.2405284 -0.0000237 -0.0000592 -0.0000237 -0.0000237 -0.0000533
264.2617228 -0.0000059 0.0000118 -0.0000294 -0.0000059 0.0000176
264.2829171 0.0000470 -0.0000117 0.0000293 -0.0000235 0.0000117
264.3041415 0.0000762 0.0000176 0.0000703 0.0000586 0.0000176
264.3253358 0.0000234 0.0000117 -0.0000759 -0.0000701 -0.0000058
264.3465302 -0.0000585 -0.0000234 0.0000760 -0.0000234 -0.0000409
264.3677545 -0.0000117 -0.0000059 -0.0000352 -0.0000176 -0.0000294
264.3889489 -0.0000648 0.0000412 -0.0000471 -0.0000177 -0.0000118
264.4101432 0.0000413 0.0000590 0.0000590 0.0000472 0.0000118
264.4313675 -0.0000117 -0.0000763 -0.0000117 0.0000059 0.0000059
264.4525619 0.0000875 0.0000992 0.0000992 0.0001283 0.0000933
264.4737563 0.0000118 0.0000649 0.0000118 0.0000590 -0.0000177
264.4949806 0.0000414 0.0000296 0.0000532 0.0000000 0.0000177
264.5161750 0.0000000 0.0000177 0.0000177 0.0000708 0.0000413
264.5373693 0.0000294 -0.0000294 0.0000000 0.0000000 -0.0000235
264.5585637 -0.0000702 -0.0000644 -0.0001053 -0.0000878 -0.0000585
264.5797880 0.0001525 0.0001349 0.0000645 0.0001114 0.0000997
264.6009824 -0.0000175 0.0000117 -0.0000292 0.0000234 -0.0000468
264.6221767 -0.0000584 -0.0000525 -0.0000759 -0.0001109 -0.0000934
264.6433711 -0.0000874 -0.0000233 -0.0000349 -0.0000641 0.0000349
264.6645954 0.0000058 -0.0000466 0.0000699 -0.0000466 -0.0000058
264.6857898 -0.0000581 -0.0000058 -0.0000581 0.0000232 -0.0000232
264.7069842 0.0000058 0.0000346 -0.0000231 0.0000866 -0.0000346
264.7281785 -0.0000287 -0.0000630 0.0000115 -0.0000745 -0.0000401
264.7494029 0.0000912 0.0000285 0.0000513 0.0000057 0.0000399
264.7705973 -0.0000853 -0.0000796 -0.0000398 -0.0000626 -0.0000057
264.7917916 -0.0000170 0.0000453 0.0002887 0.0000623 -0.0000057
264.8129860 0.0000510 -0.0000227 -0.0000283 0.0000170 -0.0000170
264.8342103 0.0000342 0.0000342 -0.0000057 -0.0000057 0.0000342
264.8554047 -0.0000343 0.0000114 -0.0000400 0.0000744 -0.0000343
264.8765991 0.0000627 0.0000456 0.0000342 0.0000114 0.0000171
264.8977934 0.0000455 0.0000455 0.0000285 0.0000342 0.0000455
264.9189878 0.0000228 0.0000057 0.0000057 -0.0000570 -0.0000683
264.9401822 0.0000000 -0.0000341 0.0000227 0.0000170 -0.0000284
264.9614065 -0.0000171 -0.0000342 -0.0000456 0.0000342 -0.0000057
264.9826009 0.0000114 0.0000284 -0.0000171 0.0000512 0.0000284
265.0037953 0.0000566 0.0000057 0.0000453 0.0000849 0.0000622
265.0249897 0.0000000 -0.0000563 -0.0000394 -0.0000619 -0.0000844
265.0461840 0.0000223 0.0000948 -0.0000614 0.0000669 -0.0000223
265.0673784 0.0001171 0.0000446 0.0000892 0.0000948 0.0000335
265.0885728 -0.0000167 0.0000223 -0.0000390 0.0000334 -0.0000111
265.1097971 0.0000223 0.0000779 0.0000334 0.0000890 -0.0000334
265.1309915 -0.0000168 -0.0000279 -0.0000223 0.0000391 0.0000223
265.1521859 -0.0000167 0.0000111 0.0000279 -0.0000446 -0.0000111
265.1733803 -0.0000056 -0.0000167 -0.0000111 0.0000612 0.0000389
265.1945746 -0.0000773 -0.0000718 -0.0001435 -0.0000663 -0.0000663
265.2157690 -0.0000327 0.0000218 -0.0000164 -0.0000382 0.0000382
265.2369634 0.0000272 0.0000217 0.0000217 0.0000326 0.0000054
265.2581578 -0.0000271 -0.0000163 -0.0000543 -0.0001085 -0.0000760
265.2793522 0.0000270 0.0000216 -0.0000324 0.0000433 0.0000054
265.3005465 -0.0000216 0.0000000 -0.0000324 0.0000324 -0.0000270
265.3217409 -0.0000054 0.0000000 0.0000647 0.0000862 0.0000755
265.3429353 0.0000326 0.0000000 0.0000380 -0.0000326 0.0000326
265.3641297 0.0000325 0.0000163 -0.0000271 0.0000325 -0.0000596
265.3853141 0.0000108 0.0000108 0.0000379 0.0000325 0.0000379
265.4065484 -0.0000216 0.0000054 -0.0000487 -0.0000162 -0.0000757
265.4277328 0.0000380 0.0000217 0.0000108 0.0000108 -0.0000217
265.4489272 -0.0000380 -0.0000651 -0.0000976 -0.0000380 -0.0000434
265.4701216 0.0000000 0.0000651 0.0000000 0.0001084 0.0000813
265.4913160 0.0000650 -0.0000325 0.0000542 -0.0000054 0.0000163
265.5125104 -0.0000653 -0.0000435 -0.0000381 -0.0000272 -0.0000435
265.5337048 0.0000712 0.0000657 0.0000548 0.0000548 0.0000657
265.5548992 0.0000383 0.0000109 0.0000274 0.0000219 -0.0000055
265.5760935 0.0000219 -0.0000164 -0.0000546 0.0000273 -0.0000055
265.5972879 -0.0000381 -0.0000326 -0.0000109 0.0000816 -0.0000054
265.6184523 0.0000270 0.0000378 0.0000324 0.0000703 0.0000162
