Date and Time:                Tue Jan 31 15:16:20.000 2023
Software Version:             4.31.30023.0
Temperature (C):              -40
Model:                        DU940P_BU2
Data Type:                    Counts
Acquisition Mode:             Single Scan
Trigger Mode:                 Internal
Exposure Time (secs):         1
Readout Mode:                 Full Vertical Binning
Horizontal binning:           1
Extended Dynamic Range:       off
Horizontally flipped:         false
Vertical Shift Speed (usecs): 14.51
Pixel Readout Rate (MHz):     3
Baseline Clamp:               ON
Clock Amplitude:              Normal
Output Amplifier:             High Capacity
Serial Number:                23634
Pre-Amplifier Gain:           1.000000
Spurious Noise Filter Mode:   No Filter
Photon counted:               false
Data Averaging Filter Mode:   No Filter
SR500i:
Serial Number:                
Wavelength (nm):              254
Grating Groove Density (l/mm):1199.47
Grating Blaze:                500
Output Flipper Port:          Direct
251.85938	12196
251.88058	12191
251.90179	12200
251.92299	12252
251.9442	12301
251.96541	12333
251.9866	12325
252.00781	12387
252.02901	12399
252.05022	12335
252.07143	12346
252.09262	12362
252.11383	12376
252.13503	12431
252.15623	12372
252.17743	12306
252.19864	12327
252.21983	12278
252.24104	12415
252.26224	12447
252.28343	12440
252.30464	12570
252.32584	12577
252.34705	12643
252.36824	12622
252.38943	12709
252.41064	12750
252.43184	12769
252.45303	12734
252.47424	12676
252.49544	12742
252.51663	12758
252.53783	12689
252.55904	12611
252.58023	12604
252.60143	12731
252.62262	12689
252.64381	12652
252.66502	12630
252.68622	12627
252.70741	12614
252.72861	12585
252.7498	12619
252.771	12751
252.79219	12760
252.81339	12862
252.83458	12845
252.85577	12761
252.87698	12852
252.89818	12752
252.91937	12782
252.94057	12875
252.96175	12880
252.98294	12907
253.00414	12972
253.02533	13009
253.04652	12980
253.06772	12979
253.08891	13052
253.11011	13104
253.1313	13275
253.1525	13265
253.17368	13251
253.19487	13202
253.21606	13129
253.23726	13131
253.25845	13179
253.27963	13273
253.30083	13374
253.32202	13411
253.34322	13402
253.3644	13440
253.38559	13457
253.40678	13422
253.42796	13390
253.44916	13389
253.47035	13470
253.49153	13342
253.51273	13361
253.53391	13287
253.5551	13247
253.57628	13301
253.59747	13236
253.61867	13351
253.63985	13405
253.66104	13561
253.68222	13512
253.7034	13481
253.72459	13440
253.74577	13537
253.76697	13621
253.78815	13768
253.80934	13743
253.83052	13688
253.8517	13805
253.87289	13853
253.89407	13827
253.91525	13739
253.93645	13703
253.95763	13730
253.97881	13747
254	13740
254.02118	13840
254.04236	13873
254.06354	13951
254.08473	14086
254.10591	14125
254.12709	14207
254.14827	14193
254.16945	14045
254.19063	13982
254.21182	13987
254.233	14052
254.25418	14136
254.27536	14280
254.29654	14269
254.31772	14191
254.3389	14139
254.36008	14138
254.38126	14135
254.40244	14165
254.42361	14276
254.44479	14345
254.46597	14420
254.48715	14489
254.50833	14371
254.52951	14467
254.55069	14518
254.57187	14595
254.59303	14544
254.61421	14605
254.63539	14560
254.65657	14576
254.67775	14519
254.69893	14529
254.72009	14503
254.74127	14521
254.76245	14555
254.78363	14710
254.80479	14770
254.82597	14764
254.84715	14840
254.86833	14833
254.8895	14903
254.91068	14961
254.93185	14981
