Date and Time:                Thu Sep 8 16:58:50.000 2022
Software Version:             4.31.30023.0
Temperature (C):              -40
Model:                        DU940P_BU2
Data Type:                    Counts
Acquisition Mode:             Single Scan
Trigger Mode:                 Internal
Exposure Time (secs):         2.5
Readout Mode:                 Full Vertical Binning
Horizontal binning:           1
Extended Dynamic Range:       off
Horizontally flipped:         false
Vertical Shift Speed (usecs): 14.51
Pixel Readout Rate (MHz):     3
Baseline Clamp:               ON
Clock Amplitude:              Normal
Output Amplifier:             High Capacity
Serial Number:                23634
Pre-Amplifier Gain:           1.000000
Spurious Noise Filter Mode:   No Filter
Photon counted:               false
Data Averaging Filter Mode:   No Filter
SR500i:
Serial Number:                
Wavelength (nm):              277
Grating Groove Density (l/mm):1199.47
Grating Blaze:                500
Output Flipper Port:          Direct
270.88138	311
270.9025	311
270.92365	311
270.94476	308
270.96591	313
270.98703	313
271.00815	315
271.0293	305
271.05042	305
271.07153	307
271.09268	308
271.1138	311
271.13492	306
271.15607	317
271.17719	306
271.1983	310
271.21942	312
271.24057	309
271.26169	307
271.28281	309
271.30396	307
271.32507	313
271.34619	311
271.36731	314
271.38843	312
271.40958	311
271.43069	308
271.45181	308
271.47293	314
271.49408	315
271.5152	307
271.53632	306
271.55743	313
271.57855	312
271.59967	309
271.62082	312
271.64194	309
271.66306	306
271.68417	306
271.70529	302
271.72641	311
271.74753	309
271.76865	306
271.78979	315
271.81091	304
271.83203	306
271.85315	305
271.87427	312
271.89539	310
271.9165	312
271.93762	316
271.95874	307
271.97986	303
272.00098	313
272.02209	307
272.04321	305
272.06433	306
272.08545	308
272.10657	311
272.12769	312
272.1488	311
272.16992	311
272.19104	312
272.21216	311
272.23328	310
272.25439	314
272.27551	312
272.29663	310
272.31775	306
272.33884	312
272.35995	311
272.38107	310
272.40219	313
272.42331	313
272.44443	305
272.46555	307
272.48666	308
272.50778	313
272.52887	308
272.54999	311
272.57111	312
272.59222	307
272.61334	308
272.63446	309
272.65555	311
272.67667	313
272.69778	309
272.7189	319
272.73999	311
272.76111	306
272.78223	313
272.80334	314
272.82446	309
272.84555	311
272.86667	315
272.88779	312
272.90887	313
272.92999	310
272.95111	312
272.97223	312
272.99332	309
273.01443	303
273.03555	305
273.05664	313
273.07776	312
273.09888	320
273.11996	314
273.14108	316
273.1622	310
273.18329	313
273.20441	310
273.22549	312
273.24661	307
273.26773	309
273.28882	315
273.30994	317
273.33102	317
273.35214	315
273.37323	319
273.39435	316
273.41547	311
273.43655	312
273.45767	311
273.47876	311
273.49988	307
273.52097	311
273.54208	313
273.56317	317
273.58429	313
273.60538	315
273.6265	318
273.64758	313
273.6687	318
273.68979	311
273.71091	318
273.73199	314
273.75308	310
273.7742	311
273.79529	317
273.81641	316
273.83749	314
273.85858	313
273.8797	319
273.90079	317
273.92191	316
273.94299	317
273.96408	322
273.9852	325
274.00629	320
274.02737	323
274.04849	319
274.06958	310
274.09067	322
274.11179	317
274.13287	316
274.15396	319
274.17508	325
274.19617	314
274.21725	317
274.23834	319
274.25946	323
274.28055	324
274.30164	319
274.32272	319
274.34384	322
274.36493	323
274.38602	314
274.4071	327
274.42822	323
274.44931	318
274.4704	324
274.49149	324
274.51257	321
274.53366	321
274.55478	321
274.57587	321
274.59695	317
274.61804	328
274.63913	320
274.66022	323
274.6813	323
274.70242	318
274.72351	321
274.7446	330
274.76569	321
274.78677	329
274.80786	329
274.82895	330
274.85004	328
274.87112	326
274.89221	331
274.9133	331
274.93439	335
274.95547	334
274.97656	329
274.99765	331
275.01874	336
275.03983	342
275.06091	335
275.082	340
275.10309	336
275.12418	344
275.14526	345
275.16635	349
275.18744	349
275.20853	350
275.22961	356
275.2507	359
275.27179	360
275.29288	360
275.31396	362
275.33502	362
275.35611	375
275.3772	375
275.39828	374
275.41937	380
275.44046	384
275.46155	392
275.4826	400
275.50369	410
275.52478	414
275.54587	418
275.56696	425
275.58804	433
275.6091	441
275.63019	450
275.65128	458
275.67236	466
275.69345	476
275.71451	493
275.7356	493
275.75668	503
275.77777	523
275.79883	532
275.81992	552
275.841	549
275.86206	575
275.88315	577
275.90424	596
275.92529	619
275.94638	629
275.96747	639
275.98853	669
276.00961	681
276.0307	697
276.05176	717
276.07285	735
276.09393	752
276.11499	780
276.13608	824
276.15717	834
276.17822	867
276.19931	880
276.22037	907
276.24146	955
276.26251	999
276.2836	1056
276.30469	1095
276.32574	1167
276.34683	1251
276.36789	1356
276.38898	1447
276.41003	1557
276.43112	1723
276.45218	1880
276.47327	2142
276.49432	2371
276.51541	2751
276.53647	3161
276.55756	3736
276.57861	4389
276.5997	5254
276.62076	6326
276.64182	7756
276.6629	9497
276.68396	11700
276.70505	14392
276.7261	17396
276.74719	20702
276.76825	24099
276.78931	27284
276.81039	29785
276.83145	31213
276.85251	31994
276.8736	32053
276.89465	31341
276.91574	30316
276.9368	29379
276.95786	28279
276.97891	27213
277	26099
277.02106	24972
277.04211	23634
277.0632	22264
277.08426	20564
277.10532	18895
277.1264	16900
277.14746	14874
277.16852	12865
277.18958	11077
277.21066	9417
277.23172	7946
277.25278	6731
277.27383	5703
277.29489	4824
277.31598	4129
277.33704	3483
277.35809	2997
277.37915	2581
277.40021	2245
277.42126	1971
277.44235	1769
277.46341	1594
277.48447	1428
277.50552	1268
277.52658	1154
277.54764	1057
277.5687	970
277.58978	899
277.61084	828
277.6319	766
277.65295	721
277.67401	687
277.69507	642
277.71613	608
277.73718	587
277.75824	558
277.7793	536
277.80035	516
277.82141	503
277.84247	484
277.86353	472
277.88458	460
277.90564	457
277.9267	444
277.94775	427
277.96881	423
277.98987	415
278.01093	406
278.03198	402
278.05304	401
278.0741	383
278.09515	390
278.11621	376
278.13727	375
278.15833	374
278.17935	370
278.20041	360
278.22147	363
278.24252	364
278.26358	358
278.28464	357
278.30569	350
278.32672	355
278.34778	349
278.36884	346
278.38989	347
278.41095	348
278.43201	346
278.45303	340
278.47409	342
278.49515	340
278.5162	345
278.53723	342
278.55829	326
278.57935	339
278.6004	334
278.62143	339
278.64249	332
278.66354	337
278.6846	335
278.70563	326
278.72668	328
278.74774	325
278.76877	329
278.78983	326
278.81088	329
278.83191	320
278.85297	328
278.87402	326
278.89505	325
278.91611	324
278.93716	321
278.95819	323
278.97925	322
279.00027	320
279.02133	321
279.04239	322
279.06342	326
279.08447	320
279.1055	330
279.12656	319
279.14758	315
279.16864	318
279.1897	320
279.21072	317
279.23178	320
279.25281	319
279.27386	319
279.29489	317
279.31595	322
279.33698	313
279.35803	311
279.37906	320
279.40009	321
279.42114	322
279.44217	317
279.46323	319
279.48425	311
279.50531	314
279.52634	319
279.54736	313
279.56842	314
279.58945	314
279.6105	314
279.63153	313
279.65256	323
279.67361	312
279.69464	320
279.71567	320
279.73672	319
279.75775	315
279.77878	319
279.79984	312
279.82086	317
279.84189	314
279.86295	318
279.88397	318
279.905	314
279.92603	319
279.94708	315
279.96811	312
279.98914	311
280.01016	317
280.03122	313
280.05225	313
280.07327	322
280.0943	311
280.11536	308
280.13638	314
280.15741	308
280.17844	306
280.19946	317
280.22049	310
280.24155	315
280.26257	314
280.2836	314
280.30463	312
280.32565	314
280.34668	318
280.36771	311
280.38873	310
280.40979	316
280.43082	311
280.45184	314
280.47287	315
280.4939	305
280.51492	315
280.53595	311
280.55698	308
280.578	313
280.59903	312
280.62006	311
280.64108	310
280.66211	310
280.68314	313
280.70416	305
280.72519	314
280.74622	313
280.76724	312
280.78827	311
280.8093	310
280.83032	308
280.85135	310
280.87238	313
280.8934	308
280.9144	311
280.93542	308
280.95645	312
280.97748	307
280.9985	302
281.01953	312
281.04056	315
281.06158	313
281.08258	308
281.10361	315
281.12463	313
281.14566	315
281.16669	312
281.18771	314
281.20871	307
281.22974	309
281.25076	311
281.27179	306
281.29279	315
281.31381	310
281.33484	305
281.35587	309
281.37686	312
281.39789	312
281.41891	309
281.43994	308
281.46094	316
281.48196	312
281.50299	307
281.52399	302
281.54501	309
281.56604	316
281.58704	314
281.60806	316
281.62909	310
281.65009	309
281.67111	306
281.69214	308
281.71313	310
281.73416	310
281.75516	307
281.77618	310
281.79721	309
281.81821	310
281.83923	309
281.86023	315
281.88126	314
281.90225	309
281.92328	305
281.94427	306
281.9653	309
281.98633	305
282.00732	312
282.02835	310
282.04935	301
282.07034	311
282.09137	311
282.11237	307
282.13339	306
282.15439	309
282.17542	309
282.19641	307
282.21744	309
282.23843	310
282.25943	312
282.28046	308
282.30145	306
282.32248	312
282.34348	313
282.36447	312
282.3855	305
