Date and Time:                Thu Oct 27 15:36:18.000 2022
Software Version:             4.31.30023.0
Temperature (C):              -40
Model:                        DU940P_BU2
Data Type:                    Counts
Acquisition Mode:             Single Scan
Trigger Mode:                 Internal
Exposure Time (secs):         2.5
Readout Mode:                 Full Vertical Binning
Horizontal binning:           1
Extended Dynamic Range:       off
Horizontally flipped:         false
Vertical Shift Speed (usecs): 14.51
Pixel Readout Rate (MHz):     3
Baseline Clamp:               ON
Clock Amplitude:              Normal
Output Amplifier:             High Capacity
Serial Number:                23634
Pre-Amplifier Gain:           1.000000
Spurious Noise Filter Mode:   No Filter
Photon counted:               false
Data Averaging Filter Mode:   No Filter
SR500i:
Serial Number:                
Wavelength (nm):              283.2
Grating Groove Density (l/mm):1199.47
Grating Blaze:                500
Output Flipper Port:          Direct
272.44388	309
272.465	305
272.48615	308
272.50729	304
272.52844	306
272.54959	311
272.57074	308
272.59186	309
272.61301	304
272.63416	303
272.6553	304
272.67645	303
272.69757	314
272.71872	307
272.73987	306
272.76102	305
272.78217	313
272.80328	308
272.82443	295
272.84558	307
272.86673	312
272.88785	304
272.909	298
272.93015	309
272.95126	304
272.97241	303
272.99356	305
273.01468	309
273.03583	305
273.05698	303
273.07813	306
273.09924	305
273.12039	308
273.14151	308
273.16266	304
273.18381	305
273.20493	303
273.22607	308
273.24722	309
273.26834	306
273.28949	310
273.31061	302
273.33176	311
273.35291	308
273.37402	298
273.39517	310
273.41629	303
273.43744	300
273.45856	306
273.47971	309
273.50082	302
273.52197	309
273.54312	303
273.56424	309
273.58539	306
273.60651	307
273.62766	304
273.64877	314
273.66992	310
273.69104	307
273.71216	309
273.73331	307
273.75443	304
273.77557	304
273.79669	304
273.81784	313
273.83896	301
273.86011	308
273.88123	303
273.90234	302
273.92349	299
273.94461	305
273.96576	302
273.98688	305
274.008	306
274.02914	304
274.05026	304
274.07138	306
274.09253	307
274.11365	311
274.13477	303
274.15591	301
274.17703	307
274.19815	307
274.2193	305
274.24042	306
274.26154	309
274.28265	299
274.3038	306
274.32492	305
274.34604	308
274.36719	301
274.38831	304
274.40942	304
274.43054	312
274.45166	308
274.47281	303
274.49393	300
274.51505	306
274.53616	307
274.55731	301
274.57843	308
274.59955	310
274.62067	309
274.64178	308
274.6629	306
274.68405	307
274.70517	305
274.72629	310
274.74741	310
274.76852	306
274.78964	313
274.81076	308
274.83188	308
274.853	310
274.87415	302
274.89526	305
274.91638	305
274.9375	308
274.95862	307
274.97974	308
275.00085	302
275.02197	298
275.04309	309
275.06421	304
275.08533	302
275.10645	304
275.12756	306
275.14868	306
275.1698	311
275.19092	303
275.21204	307
275.23315	305
275.25427	305
275.27539	307
275.29651	303
275.31763	303
275.33875	312
275.35986	308
275.38098	305
275.4021	301
275.42322	306
275.44431	306
275.46542	302
275.48654	300
275.50766	304
275.52878	307
275.5499	304
275.57101	308
275.59213	301
275.61322	306
275.63434	315
275.65546	304
275.67657	303
275.69769	303
275.71881	306
275.7399	309
275.76102	304
275.78214	305
275.80325	307
275.82437	310
275.84546	303
275.86658	303
275.8877	305
275.90881	315
275.9299	304
275.95102	308
275.97214	300
275.99326	310
276.01434	305
276.03546	303
276.05658	304
276.07767	308
276.09879	304
