Date and Time:                Thu Oct 27 15:27:33.000 2022
Software Version:             4.31.30023.0
Temperature (C):              -40
Model:                        DU940P_BU2
Data Type:                    Counts
Acquisition Mode:             Single Scan
Trigger Mode:                 Internal
Exposure Time (secs):         2.5
Readout Mode:                 Full Vertical Binning
Horizontal binning:           1
Extended Dynamic Range:       off
Horizontally flipped:         false
Vertical Shift Speed (usecs): 14.51
Pixel Readout Rate (MHz):     3
Baseline Clamp:               ON
Clock Amplitude:              Normal
Output Amplifier:             High Capacity
Serial Number:                23634
Pre-Amplifier Gain:           1.000000
Spurious Noise Filter Mode:   No Filter
Photon counted:               false
Data Averaging Filter Mode:   No Filter
SR500i:
Serial Number:                
Wavelength (nm):              283.2
Grating Groove Density (l/mm):1199.47
Grating Blaze:                500
Output Flipper Port:          Direct
294.27316	295
294.29407	305
294.31497	303
294.33588	302
294.35678	297
294.37769	305
294.39859	302
294.41949	309
294.4404	297
294.4613	302
294.48221	304
294.50311	299
294.52402	305
294.54492	307
294.56583	300
294.58673	304
294.60764	309
294.62854	304
294.64944	301
294.67035	303
294.69125	305
294.71216	307
294.73306	308
294.75397	304
294.77484	299
294.79575	305
294.81665	301
294.83755	300
294.85846	303
294.87936	302
294.90027	307
294.92117	303
294.94205	304
294.96295	302
294.98386	303
295.00476	304
295.02567	302
295.04654	302
295.06744	301
295.08835	298
295.10925	305
295.13013	309
295.15103	308
295.17194	305
295.19284	303
295.21371	306
295.23462	300
295.25552	306
295.2764	305
295.2973	305
295.31821	305
295.33908	305
295.35999	302
295.38089	300
295.40176	306
295.42267	306
295.44357	304
295.46445	306
295.48535	301
295.50626	305
295.52713	303
295.54803	298
295.56891	308
295.58981	309
295.61069	296
295.63159	307
295.6525	306
295.67337	301
295.69427	309
295.71515	304
295.73605	303
295.75693	302
295.77783	307
295.79871	301
295.81961	308
295.84048	305
295.86139	297
295.88226	305
295.90314	303
295.92404	304
295.94492	302
295.96582	302
295.98669	304
296.00757	303
296.02847	302
296.04935	304
296.07025	302
296.09113	314
296.112	300
296.1329	306
296.15378	303
296.17465	304
296.19556	296
296.21643	303
296.2373	304
296.25821	308
296.27908	303
296.29996	306
296.32083	305
296.34174	310
296.36261	300
296.38348	307
296.40439	305
296.42526	302
296.44614	299
296.46701	304
296.48788	308
296.50879	306
296.52966	304
296.55054	300
296.57141	304
296.59229	307
296.61316	304
296.63406	302
296.65494	303
296.67581	304
296.69669	304
296.71756	301
296.73843	308
296.75931	300
296.78018	300
296.80106	304
296.82196	308
296.84283	299
296.86371	303
296.88458	303
296.90546	304
296.92633	302
296.9472	305
296.96808	301
296.98895	309
297.00983	300
297.0307	299
297.05157	305
297.07245	305
297.09332	305
297.1142	306
297.13507	305
297.15594	308
297.17679	303
297.19766	306
297.21854	303
297.23941	298
297.26028	307
297.28116	307
297.30203	305
297.32291	308
297.34378	305
297.36462	307
297.3855	305
297.40637	302
297.42725	298
297.44812	300
297.46899	305
297.48984	302
297.51071	304
297.53159	300
297.55246	300
297.57333	302
297.59418	301
297.61505	303
297.63593	300
297.65677	302
297.67764	305
297.69852	300
297.71939	306
297.74023	302
297.76111	298
297.78198	302
297.80283	297
297.8237	306
297.84457	308
297.86542	308
297.88629	304
297.90717	301
297.92801	301
297.94888	303
297.96973	308
297.9906	304
298.01147	311
298.03232	302
298.05319	305
298.07404	305
298.09491	303
298.11575	303
298.13663	302
298.15747	307
298.17834	306
298.19922	303
298.22006	309
298.24094	306
298.26178	304
298.28262	300
298.3035	305
298.32434	307
298.34521	303
298.36606	308
298.38693	304
298.40778	306
298.42865	309
298.44949	303
298.47034	306
298.49121	307
298.51205	301
298.5329	301
298.55377	301
298.57462	303
298.59549	304
298.61633	298
298.63718	306
298.65805	304
298.67889	306
298.69974	305
298.72058	309
298.74146	302
298.7623	303
298.78314	305
298.80402	303
298.82486	306
298.8457	307
298.86655	303
298.88742	306
298.90826	302
298.92911	310
298.94995	301
298.97079	303
298.99167	310
299.01251	311
299.03336	296
299.0542	300
299.07504	302
299.09589	303
299.11673	308
299.1376	303
299.15845	301
299.17929	311
299.20013	303
299.22098	303
299.24182	304
299.26266	305
299.28351	301
299.30435	305
299.3252	308
299.34604	302
299.36688	302
299.38773	300
299.40857	304
299.42941	301
299.45026	309
299.4711	312
299.49194	310
299.51279	306
299.53363	307
299.55447	307
299.57532	308
299.59616	300
299.617	302
299.63785	298
299.65869	308
299.67953	307
299.70038	305
299.72119	306
299.74203	309
299.76288	309
299.78372	302
299.80457	302
299.82541	304
299.84625	306
