# wl 	 tx
235.7314134 0.0037585
235.7527569 0.0035220
235.7740903 0.0032985
235.7954338 0.0033566
235.8167872 0.0035887
235.8381107 0.0036279
235.8594542 0.0036746
235.8808076 0.0035190
235.9021311 0.0038586
235.9234845 0.0034653
235.9448280 0.0033496
235.9661614 0.0038868
235.9875049 0.0035766
236.0088284 0.0029405
236.0301818 0.0036605
236.0515253 0.0037537
236.0728588 0.0035639
236.0942022 0.0034380
236.1155357 0.0036215
236.1368792 0.0036235
236.1582126 0.0032424
236.1795561 0.0032321
236.2008796 0.0032558
236.2222330 0.0033394
236.2435565 0.0034977
236.2649100 0.0038402
236.2862335 0.0040739
236.3075669 0.0038001
236.3289104 0.0037632
236.3502439 0.0034820
236.3715873 0.0035813
236.3929208 0.0036475
236.4142543 0.0032040
236.4355978 0.0036789
236.4569312 0.0032425
236.4782547 0.0035390
236.4995982 0.0035649
236.5209317 0.0034974
236.5422652 0.0033030
236.5636086 0.0034951
236.5849421 0.0036224
236.6062756 0.0033562
236.6275991 0.0034465
236.6489426 0.0034982
236.6702761 0.0036172
236.6916096 0.0036082
236.7129430 0.0033588
236.7342665 0.0037804
236.7556200 0.0034818
236.7769435 0.0036025
236.7982770 0.0040605
236.8196105 0.0029888
236.8409340 0.0030213
236.8622675 0.0036294
236.8836010 0.0036433
236.9049245 0.0034580
236.9262779 0.0031396
236.9476014 0.0037016
236.9689349 0.0037364
236.9902684 0.0033628
237.0116019 0.0033914
237.0329254 0.0030637
237.0542589 0.0030855
237.0755924 0.0031403
237.0969159 0.0036143
237.1182494 0.0032047
237.1395829 0.0033630
237.1609064 0.0038156
237.1822399 0.0034218
237.2035734 0.0030892
237.2249069 0.0032247
237.2462204 0.0034017
237.2675440 0.0035116
237.2888775 0.0033130
237.3102110 0.0034800
237.3315445 0.0029240
237.3528680 0.0032734
237.3742015 0.0035531
237.3955150 0.0031698
237.4168485 0.0029538
237.4381820 0.0034794
237.4595055 0.0035874
237.4808390 0.0032216
237.5021526 0.0035653
237.5234861 0.0033265
237.5448196 0.0033555
237.5661431 0.0036545
237.5874566 0.0031753
237.6087901 0.0036333
237.6301237 0.0035251
237.6514372 0.0033654
237.6727707 0.0033102
237.6940942 0.0031533
237.7154177 0.0035975
237.7367413 0.0035943
237.7580748 0.0031277
237.7793883 0.0033207
237.8007218 0.0034890
237.8220553 0.0032608
237.8433689 0.0033759
237.8646924 0.0032597
237.8860159 0.0032157
237.9073395 0.0032750
237.9286630 0.0037078
237.9499865 0.0036253
237.9713000 0.0032335
237.9926336 0.0030482
238.0139471 0.0039003
238.0352806 0.0032193
238.0565942 0.0033927
238.0779277 0.0032615
238.0992412 0.0034134
238.1205748 0.0038026
238.1418883 0.0027241
