Date and Time:                Thu Oct 27 14:20:06.000 2022
Software Version:             4.31.30023.0
Temperature (C):              -40
Model:                        DU940P_BU2
Data Type:                    Counts
Acquisition Mode:             Single Scan
Trigger Mode:                 Internal
Exposure Time (secs):         4
Readout Mode:                 Full Vertical Binning
Horizontal binning:           1
Extended Dynamic Range:       off
Horizontally flipped:         false
Vertical Shift Speed (usecs): 14.51
Pixel Readout Rate (MHz):     3
Baseline Clamp:               ON
Clock Amplitude:              Normal
Output Amplifier:             High Capacity
Serial Number:                23634
Pre-Amplifier Gain:           1.000000
Spurious Noise Filter Mode:   No Filter
Photon counted:               false
Data Averaging Filter Mode:   No Filter
SR500i:
Serial Number:                
Wavelength (nm):              277.1
Grating Groove Density (l/mm):1199.47
Grating Blaze:                500
Output Flipper Port:          Direct
269.10016	303
269.12131	308
269.14246	311
269.1636	302
269.18475	311
269.2059	304
269.22705	307
269.2482	309
269.26935	312
269.2905	304
269.31165	306
269.33279	306
269.35394	304
269.37506	296
269.39621	308
269.41736	302
269.43851	305
269.45966	300
269.4808	311
269.50195	306
269.5231	311
269.54422	306
269.56537	307
269.58652	306
269.60767	302
269.62881	307
269.64996	307
269.67108	302
269.69223	311
269.71338	311
269.73453	308
269.75568	306
269.77679	304
269.79794	306
269.81909	310
269.84024	310
269.86136	304
269.88251	311
269.90366	298
269.9248	307
269.94592	307
269.96707	306
269.98822	308
270.00934	308
270.03049	306
270.05164	305
270.07275	299
270.0939	309
270.11505	303
270.13617	306
270.15732	318
270.17847	305
270.19958	311
270.22073	304
270.24188	306
270.263	309
270.28415	306
270.30527	307
270.32642	300
270.34756	303
270.36868	310
270.38983	302
270.41095	307
270.4321	312
270.45322	308
270.47437	307
270.49548	301
270.51663	305
270.53778	306
270.5589	304
270.58005	310
270.60117	306
270.62231	303
270.64343	308
270.66458	302
270.6857	310
270.70682	306
270.72797	306
270.74908	306
270.77023	308
270.79135	311
270.8125	303
270.83362	305
270.85477	308
270.87589	308
270.897	307
270.91815	302
270.93927	300
270.96042	307
270.98154	302
271.00266	306
271.0238	299
271.04492	300
271.06604	311
271.08719	306
271.10831	293
271.12943	312
271.15057	302
271.17169	301
271.19281	308
271.21396	308
271.23508	309
271.2562	309
271.27734	303
271.29846	307
271.31958	312
271.3407	296
271.36185	308
271.38297	307
271.40408	305
271.4252	308
271.44635	301
271.46747	308
271.48859	301
271.5097	306
271.53082	302
271.55197	304
271.57309	311
271.59421	306
271.61533	306
271.63644	308
271.65756	303
271.67871	306
271.69983	306
271.72095	325
271.74207	327
271.76318	307
271.7843	301
271.80542	307
271.82654	304
271.84766	310
271.8688	298
271.88992	305
271.91104	311
271.93216	304
271.95328	303
271.9744	304
271.99551	304
272.01663	305
272.03775	301
272.05887	304
272.07999	305
272.1011	302
272.12222	310
272.14334	307
272.16446	303
272.18558	310
272.2067	314
272.22781	313
272.24893	303
272.27005	306
272.29117	303
272.31229	304
272.3334	312
272.35452	311
272.37564	299
272.39673	302
272.41785	306
272.43896	306
272.46008	308
272.4812	307
272.50232	308
272.52344	299
272.54456	296
272.56564	311
272.58676	302
272.60788	305
272.629	302
272.65012	305
272.67123	307
272.69232	303
272.71344	304
272.73456	301
272.75568	309
272.77679	302
272.79788	304
272.819	304
272.84012	308
272.86124	306
272.88232	305
272.90344	302
272.92456	309
272.94568	301
272.96677	307
272.98788	311
273.009	310
273.03009	310
273.05121	306
273.07233	310
273.09341	315
273.11453	309
273.13565	309
273.15674	315
273.17786	309
273.19897	305
273.22006	308
273.24118	302
273.2623	313
273.28339	306
273.3045	305
273.32559	306
