# wl center%tx left%tx right%tx top%tx bottom%tx
 259.27840  0.00619  0.00876  0.00773  0.00516  0.01495
 259.29962  0.00257  0.00206  0.00514  0.00051  0.00411
 259.32085  0.00567  0.00567  0.00876  0.00309  0.00670
 259.34207  0.00206  0.00722  0.00464  0.00310  0.00206
 259.36329  0.00309  0.00206  0.00206  0.00052  0.00052
 259.38452  0.00463  0.00617  0.00823  0.00566  0.01183
 259.40574  0.00977  0.01286  0.00566  0.01080  0.00411
 259.42697  0.00461 -0.00871  0.00102  0.00410  0.00051
 259.44819  0.00713  0.00153  0.00102  0.00510  0.00306
 259.46941  0.01476  0.00713  0.00865  0.00764  0.00713
 259.49064  0.00614  0.00614  0.00614  0.00154  0.00256
 259.51186  0.00565  0.00513  0.00000  0.00616  0.00308
 259.53309  0.00000 -0.00103 -0.00359  0.00411 -0.00051
 259.55431  0.00818  0.00460  0.00716  0.00409  0.00562
 259.57554  0.00711  0.00051  0.00864  0.00813  0.01016
 259.59677  0.00303 -0.00050  0.00303 -0.00252  0.00555
 259.61799  0.00654  0.00252  0.00201  0.00654  0.00453
 259.63922  0.00556  0.00000  0.00556  0.00101  0.00606
 259.66044  0.00657 -0.00505  0.00000  0.00404  0.00253
 259.68167  0.00151  0.00252  0.00252  0.00000  0.00101
 259.70289  0.00151  0.00403  0.00353 -0.00252  0.00000
 259.72412  0.00352 -0.00403  0.00252 -0.00352 -0.00403
 259.74531  0.01101  0.00450  0.01001  0.00650  0.00300
 259.76653 -0.00647 -0.00498  0.00149  0.00000 -0.00398
 259.78776  0.00895 -0.00099  0.00149  0.00348  0.00149
 259.80898  0.00349 -0.00050  0.00000  0.00548  0.00249
 259.83021 -0.00050  0.00750  0.00050  0.00600  0.00450
 259.85143  0.00250  0.00350  0.00750 -0.00300 -0.00350
 259.87265  0.00548  0.00299  0.00897  0.00448  0.00697
 259.89385  0.00349  0.00499  0.00150 -0.00249  0.00598
 259.91507  0.00448 -0.00199 -0.00149  0.00050  0.00050
 259.93630  0.00690  0.01183  0.00937  0.00542  0.00789
 259.95752  0.00686 -0.00098 -0.00147  0.00000  0.00000
 259.97875  0.00684 -0.00195  0.00244  0.00488  0.00586
 259.99997  0.00293  0.00293 -0.00342  0.00049  0.00195
 260.02116  0.00343  0.00000  0.00098 -0.00098  0.00882
 260.04239  0.00000 -0.00148  0.00049  0.00099 -0.00148
 260.06361  0.00394 -0.00345 -0.00394 -0.00148 -0.00099
 260.08484  0.00547  0.00646  0.00249  0.00497  0.00646
 260.10606  0.00200  0.00549  0.00400  0.00999  0.00350
 260.12726  0.00498 -0.00449  0.00050  0.00050 -0.00199
 260.14848  0.00450  0.00200  0.00400  0.00000  0.00800
 260.16970  0.00499  0.01198  0.00549  0.00200  0.00599
 260.19093  0.00893  0.00248 -0.00149 -0.00596  0.00099
 260.21212  0.00049 -0.00099  0.00395 -0.00049  0.00543
 260.23335 -0.00049 -0.00049 -0.00197  0.00296  0.00296
 260.25457  0.00988  0.00346  0.00988  0.01038  0.00445
 260.27579  0.00000  0.00346  0.00198  0.00000 -0.00049
 260.29699  0.01183  0.00936  0.00936  0.00296  0.00641
 260.31821 -0.00049  0.00393  0.00196  0.00491  0.00736
 260.33944  0.00538  0.00831  0.00440  0.00538  0.00538
 260.36066  0.00820  0.00145  0.00096 -0.00096  0.00530
 260.38186  0.00095  0.00382 -0.00286  0.00621  0.00477
 260.40308  0.00000 -0.00429 -0.00286 -0.00095  0.00000
 260.42430  0.00526 -0.00813 -0.00048 -0.00430 -0.00048
 260.44550  0.00713  0.00760  0.00665  0.00428  0.00618
