# wl 	 tx
263.6911757 0.0004766
263.7009790 0.0004660
263.7108022 0.0002689
263.7206055 0.0004996
263.7303988 0.0004138
263.7402021 0.0003631
263.7500353 0.0003831
263.7598286 0.0003570
263.7696319 0.0004559
263.7794351 0.0003122
263.7892284 0.0002982
263.7990617 0.0003157
263.8088549 0.0004032
263.8186582 0.0003960
263.8284615 0.0003592
263.8382547 0.0003982
263.8480880 0.0003697
263.8578913 0.0003936
263.8676846 0.0004836
263.8774878 0.0003493
263.8872811 0.0004515
263.8971144 0.0004973
263.9069177 0.0005094
263.9167109 0.0004202
263.9265142 0.0004333
263.9363175 0.0004204
263.9461107 0.0003847
263.9559140 0.0004573
263.9657373 0.0004765
263.9755406 0.0003332
263.9853438 0.0004722
263.9951371 0.0003745
264.0049404 0.0004145
264.0147436 0.0003664
264.0245369 0.0003709
264.0343402 0.0003745
264.0441635 0.0003231
264.0539667 0.0004628
264.0637700 0.0003985
264.0735633 0.0003982
264.0833666 0.0002842
264.0931698 0.0004946
264.1029631 0.0004198
264.1127664 0.0004834
264.1225597 0.0003873
264.1323629 0.0004220
264.1421662 0.0003716
264.1519595 0.0004581
264.1617627 0.0004567
264.1715560 0.0004176
264.1813593 0.0003918
264.1911626 0.0003727
264.2009859 0.0003923
264.2107891 0.0003826
264.2205924 0.0003735
264.2303857 0.0003943
264.2401890 0.0004385
264.2499822 0.0005549
264.2597855 0.0003845
264.2695888 0.0004714
264.2793821 0.0004385
264.2891853 0.0004395
264.2989786 0.0004927
264.3087519 0.0004029
264.3185552 0.0004613
264.3283484 0.0003583
264.3381517 0.0004257
264.3479450 0.0004286
264.3577483 0.0003777
264.3675515 0.0003593
264.3773448 0.0003718
264.3871481 0.0004443
264.3969514 0.0003855
264.4067446 0.0004536
264.4165479 0.0004233
264.4263412 0.0004231
264.4361445 0.0004047
264.4459478 0.0004248
264.4557410 0.0003709
264.4655143 0.0004275
264.4753076 0.0004653
264.4851109 0.0003642
264.4949141 0.0005039
264.5047074 0.0003882
264.5145107 0.0004919
264.5243040 0.0004344
264.5341073 0.0003111
264.5438805 0.0004595
264.5536738 0.0003848
264.5634771 0.0004629
264.5732804 0.0004448
264.5830737 0.0003446
264.5928769 0.0003803
264.6026702 0.0004426
264.6124435 0.0004762
264.6222468 0.0005082
264.6320401 0.0004158
264.6418433 0.0003727
264.6516366 0.0003775
264.6614099 0.0004739
264.6712132 0.0004552
264.6810065 0.0004503
264.6908097 0.0004626
264.7006030 0.0005050
264.7103763 0.0003690
264.7201796 0.0005591
264.7299729 0.0004358
264.7397761 0.0004040
264.7495394 0.0004455
264.7593427 0.0004411
264.7691460 0.0004625
264.7789393 0.0004938
264.7887125 0.0005729
264.7985058 0.0003945
264.8083091 0.0004863
264.8181124 0.0004519
264.8278757 0.0004377
264.8376790 0.0004459
264.8474722 0.0004561
264.8572755 0.0004040
264.8670488 0.0004539
264.8768421 0.0004529
264.8866454 0.0003592
264.8964086 0.0003900
264.9062119 0.0004862
264.9160152 0.0005125
264.9257785 0.0004331
